SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,804 E Cottage Ave,Nampa,ID,83686-8488,340000,3,2.0,The Cottages,1263,3920,2003,10,269,25,Active,,,https://www.redfin.com/ID/Nampa/804-E-Cottage-Ave-83686/home/117411713,IMLS,98864735,N,Y,43.5462269,-116.5618153
MLS Listing,,Single Family Residential,11132 W Hickory Dale Dr,Boise,ID,83713-1026,749900,5,4.0,Hickories - Ada,3714,13503,1992,14,202,21,Active,,,https://www.redfin.com/ID/Boise/11132-W-Hickory-Dale-Dr-83713/home/106664196,IMLS,98864563,N,Y,43.650241,-116.3208235
MLS Listing,,Townhouse,3493 N Collister Dr,Boise,ID,83703-3368,409000,2,2.0,KnottS Landing,1103,5662,1985,28,371,85,Active,,,https://www.redfin.com/ID/Boise/3493-N-Collister-Dr-83703/home/106684955,IMLS,98861239,N,Y,43.651801,-116.248619
MLS Listing,,Single Family Residential,1861 S Swan Ave,Meridian,ID,83642-6693,524900,4,2.0,Sportsman Point,1810,10890,1995,38,290,19,Active,,,https://www.redfin.com/ID/Meridian/1861-S-Swan-Ave-83642/home/106759448,IMLS,98863087,N,Y,43.5877698,-116.3793625
MLS Listing,,Single Family Residential,1620 W Young Ave,Nampa,ID,83651-7713,348000,3,2.5,Pebble Creek,1377,10018,2003,43,253,13,Active,,,https://www.redfin.com/ID/Nampa/1620-W-Young-Ave-83651/home/116673476,IMLS,98862814,N,Y,43.571143,-116.6012844
MLS Listing,,Single Family Residential,6322 N Seacliff Ave,Meridian,ID,83646-6941,549900,4,2.5,Irvine Meadows,2697,10454,2020,54,204,15,Active,,,https://www.redfin.com/ID/Meridian/6322-N-Seacliff-Ave-83646/home/168220065,IMLS,98861817,N,Y,43.6622618,-116.4288874
MLS Listing,,Single Family Residential,2147 W Bella Ln,Nampa,ID,83651-4897,349200,3,2.0,Bella Commons,1311,3484,2019,67,266,29,Active,,,https://www.redfin.com/ID/Nampa/2147-W-Bella-Ln-83651/home/166637691,IMLS,98860700,N,Y,43.599031,-116.6073352
MLS Listing,,Single Family Residential,6737 N Moon Drummer,Meridian,ID,83646-4849,750000,3,2.0,SpurWing Greens,2211,10018,2011,72,339,119,Active,,,https://www.redfin.com/ID/Meridian/6737-N-Moon-Drummer-Way-83646/home/106789690,IMLS,98860329,N,Y,43.6664084,-116.4429991
MLS Listing,,Single Family Residential,4331 Whistling Heights Way,Nampa,ID,83687-3639,699900,4,2.5,Pheasant Meadows,2409,9147,2021,86,291,29,Active,,,https://www.redfin.com/ID/Nampa/4331-Whistling-Heights-Way-83687/home/172957787,IMLS,98858995,N,Y,43.5706157,-116.517726
MLS Listing,,Condo/Co-op,2960 W Cherry Ln,Boise,ID,83705-4175,397500,3,2.0,Brampton Square,1547,,1996,86,257,155,Active,,,https://www.redfin.com/ID/Boise/2960-Cherry-Ln-83705/home/106740897,IMLS,98858023,N,Y,43.5809279,-116.2176327
