SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2825 Campbell Street St,Baker City,OR,97814,239900,3,2.0,Baker City,912,,1950,1,263,,Active,,,https://www.redfin.com/OR/Baker-City/2825-Campbell-St-97814/home/183387960,RMLS,22545899,N,Y,44.7815236,-117.8403205
MLS Listing,,Single Family Residential,82 Fair Acres Ln,Walla Walla,WA,99362,1599000,6,5.0,Walla Walla,6364,213400,1912,1,251,,Active,,,https://www.redfin.com/WA/Walla-Walla/82-Fair-Acres-Ln-99362/home/126556681,NWMLS,2023046,N,Y,46.0329757,-118.2573367
MLS Listing,,Condo/Co-op,418 Roosevelt St,Missoula,MT,59801,650000,1,1.0,Missoula,959,,1908,1,678,217,Active,,,https://www.redfin.com/MT/Missoula/418-Roosevelt-St-59801/home/183385831,MRMLS,22216871,N,Y,46.8621818,-113.9978275
MLS Listing,,Single Family Residential,2203 11th Ave,Lewiston,ID,83501,299000,2,1.0,Lewiston - 2135,1112,7187,1953,1,269,,Active,,,https://www.redfin.com/ID/Lewiston/2203-11th-Ave-83501/home/106848792,IMLS,98865347,N,Y,46.4095675,-116.9999279
MLS Listing,,Vacant Land,1480 River Ridge Dr,Asotin,WA,99402,120000,,,Riverpointe,,19602,,1,,,Active,,,https://www.redfin.com/WA/Asotin/1480-River-Ridge-Dr-99402/home/183383927,IMLS,98865329,N,Y,46.3311016,-117.0313694
MLS Listing,,Single Family Residential,733 4th St,Clarkston,WA,99403,275000,3,1.0,Clarkston Downtown - 2510,1153,6534,1930,1,239,,Active,,,https://www.redfin.com/WA/Clarkston/733-4th-St-99403/home/114377524,IMLS,98865327,N,Y,46.4150464,-117.0426375
MLS Listing,,Vacant Land,1482 River Ridge Dr,Asotin,WA,99402,110000,,,Asotin - 2500,,23522,,1,,,Active,,,https://www.redfin.com/WA/Asotin/1482-River-Ridge-Dr-99402/home/183383260,IMLS,98865322,N,Y,46.3311016,-117.0313694
MLS Listing,,Condo/Co-op,1304 Andy Ave,Moscow,ID,83843,269000,3,2.0,Moscow - 2070,1296,,1992,1,208,,Active,,,https://www.redfin.com/ID/Moscow/1304-Andy-Ave-83843/home/175786566,IMLS,98865314,N,Y,46.7225719,-116.9786236
MLS Listing,,Vacant Land,TBD Flying Elk,Kamiah,ID,83536,55000,,,Flying Elk II,,263102,,1,,,Active,,,https://www.redfin.com/ID/Unknown/TBD-Flying-Elk-Dr-83536/home/175820672,IMLS,98865309,N,Y,46.296206,-116.060778
MLS Listing,,Vacant Land,0 TBD N Pettybone St,Dixie,WA,99329,65000,,,Dixie,,53742,,1,,,Active,,,https://www.redfin.com/WA/Dixie/0-TBD-Pettybone-St-99329/home/183381158,NWMLS,2022901,N,Y,46.141679,-118.155998
MLS Listing,,Single Family Residential,1820 Clements Rd,Missoula,MT,59804,669900,3,2.0,Missoula,1736,48787,1950,1,386,,Active,,,https://www.redfin.com/MT/Missoula/1820-Clements-Rd-59804/home/135389947,MRMLS,22216838,N,Y,46.8525729,-114.0808874
MLS Listing,,Vacant Land,170 Copperhead Rd,Dixie,ID,83525,94000,,,Idaho County - 1950,,76926,,1,,,Active,,,https://www.redfin.com/ID/Dixie/170-Copperhead-Rd-83525/home/106939753,IMLS,98865300,N,Y,45.5348816,-115.4491229
MLS Listing,,Single Family Residential,318 E 7th St,Stevensville,MT,59870,349900,3,1.0,Stevensville,1100,11805,1979,1,318,,Active,,,https://www.redfin.com/MT/Stevensville/318-7th-St-59870/home/104809289,MRMLS,22216834,N,Y,46.504446,-114.087962
MLS Listing,,Single Family Residential,5210 Bronco Ct,Florence,MT,59833,725000,3,2.0,Florence,1672,20039,2022,1,434,83,Active,December-18-2022 11:00 AM,December-18-2022 01:00 PM,https://www.redfin.com/MT/FLORENCE/5210-BRONCO-CT-59833/home/181165359,MRMLS,22216392,N,Y,46.6188,-114.089955
MLS Listing,,Single Family Residential,5370 Mac Ct,Florence,MT,59833,550000,3,3.0,Florence,2728,60548,2001,1,202,,Active,December-21-2022 04:00 PM,December-21-2022 06:00 PM,https://www.redfin.com/MT/Florence/5370-MAC-Ct-59833/home/104841907,MRMLS,22216831,N,Y,46.6313696,-114.0441804
MLS Listing,,Vacant Land,"Yarrow, McCall ID 83654 Yarrow",Mccall,ID,83654,99500,,,Meadow Crk-Mcc,,29620,,2,,103,Active,,,https://www.redfin.com/ID/McCall/Yarrow-McCall-ID-83654-Yarrow-83638/home/183371355,IMLS,98865280,N,Y,44.906183,-116.1171311
MLS Listing,,Single Family Residential,354 Quail Run Dr,Moscow,ID,83843,385000,4,3.0,Quail Run,1785,8712,1996,2,216,,Active,December-17-2022 11:00 AM,December-17-2022 02:00 PM,https://www.redfin.com/ID/Moscow/354-Quail-Run-Dr-83843/home/106615342,IMLS,98865279,N,Y,46.747668,-116.9979933
MLS Listing,,Condo/Co-op,807 Worden Ave Unit 1,Missoula,MT,59802,499900,2,2.0,Missoula,2386,,1915,2,210,200,Active,December-18-2022 01:00 PM,December-18-2022 03:00 PM,https://www.redfin.com/MT/Missoula/807-Worden-Ave-59802/unit-1/home/135323176,MRMLS,22216827,N,Y,46.8795847,-113.9979206
MLS Listing,,Single Family Residential,1035 F St,Baker City,OR,97814,395000,3,2.0,Baker City,1748,,2002,2,226,,Active,,,https://www.redfin.com/OR/Baker-City/1035-F-St-97814/home/56156668,RMLS,22597137,N,Y,44.7866544,-117.8176156
MLS Listing,,Single Family Residential,616 Juniper,Walla Walla,WA,99362,294500,3,1.0,Walla Walla,1668,6000,1930,2,177,,Active,,,https://www.redfin.com/WA/Walla-Walla/616-Juniper-St-99362/home/126485776,NWMLS,2022688,N,Y,46.0601816,-118.3217824
MLS Listing,,Single Family Residential,400 E Pleasant Ave,Challis,ID,83226,99000,2,1.5,,1499,11761,1930,2,66,,Active,,,https://www.redfin.com/ID/Challis/400-Pleasant-Ave-83226/home/106855873,SRMLS,2151861,N,Y,44.5042723,-114.2350374
