SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1432 Beekman Ave,Medford,OR,97501,374000,3,2.0,Beekman Place Subdivision,1248,5227,2003,49,300,,Active,,,https://www.redfin.com/OR/Medford/1432-Beekman-Ave-97501/home/131176883,MLSCO,220155756,N,Y,42.3080336,-122.881819
MLS Listing,,Single Family Residential,3429 S Stage Rd,Medford,OR,97501,1297000,10,8.0,Medford,5838,75794,1950,105,222,,Active,,,https://www.redfin.com/OR/Medford/3429-S-Stage-Rd-97501/home/130380249,MLSCO,220153110,N,Y,42.3009743,-122.9216858
MLS Listing,,Single Family Residential,448 N Fifth St,Central Point,OR,97502,255000,3,1.0,Central Point,1320,7841,1937,155,193,,Active,,,https://www.redfin.com/OR/Central-Point/448-N-5th-St-97502/home/131211948,MLSCO,220150130,N,Y,42.3801014,-122.9172024
MLS Listing,,Vacant Land,701 Willhoite Rd,Chester,CA,96020,43000,,,Vision Lake,,14374,,1,,,Active,,,https://www.redfin.com/CA/Chester/701-Willhoite-Rd-96020/home/121053617,PAR,20211288,N,Y,40.2930862,-121.2286709
MLS Listing,,Single Family Residential,430 Third Ave,Chester,CA,96020,205000,2,1.0,Chester,712,6969,1934,1,288,,Active,,,https://www.redfin.com/CA/Portola/430-3rd-Ave-96122/home/121023991,PAR,20220470,N,Y,40.305919,-121.224807
MLS Listing,,Single Family Residential,12881 Gas Point Rd,Igo,CA,96047,475000,3,2.0,Igo,2093,,2002,1,227,,Active,,,https://www.redfin.com/CA/Igo/12881-Gas-Point-Rd-96047/home/161767083,SAOR,22-4654,N,Y,40.4491614,-122.533244
MLS Listing,,Vacant Land,579 Hennesey View None,Burnt Ranch,CA,95527,399000,,,Burnt Ranch,,2352240,,,,,Active,,,https://www.redfin.com/CA/Burnt-Ranch/579-Hennessey-Vw-95527/home/124434677,HAR,260458,N,Y,40.8064317,-123.5159535
MLS Listing,,Single Family Residential,2451 W Jones Creek Rd,Grants Pass,OR,97526,529000,2,1.0,Grants Pass,2102,660370,1948,1,252,,Active,,,https://www.redfin.com/OR/Grants-Pass/2451-W-Jones-Creek-Rd-97526/home/174491514,MLSCO,220157361,N,Y,42.4694069,-123.290938
MLS Listing,,Vacant Land,879 Jess Way Lot 17,Grants Pass,OR,97526,200000,0,,Grants Pass Original Townsite,,57935,,1,,20,Active,,,https://www.redfin.com/OR/Grants-Pass/879-Jess-Way-97526/unit-17/home/183391315,MLSCO,220157349,N,Y,42.56584,-123.404267
MLS Listing,,Vacant Land,959 Jess Way Lot 18,Grants Pass,OR,97526,185000,0,,Grants Pass Original Townsite,,70132,,1,,20,Active,,,https://www.redfin.com/OR/Grants-Pass/959-Jess-Way-97526/unit-18/home/183391314,MLSCO,220157350,N,Y,42.565654,-123.403481
MLS Listing,,Vacant Land,768 Jess Way Lot 4,Grants Pass,OR,97526,225000,0,,Grants Pass Original Townsite,,97574,,1,,20,Active,,,https://www.redfin.com/OR/Grants-Pass/768-Jess-Way-97526/unit-4/home/183391313,MLSCO,220157347,N,Y,42.567028,-123.405041
MLS Listing,,Single Family Residential,2331 Wilson Ave,Redding,CA,96002,259900,3,1.0,.....Please Select,1056,7840,1975,1,246,,Active,,,https://www.redfin.com/CA/Redding/2331-Wilson-Ave-96002/home/122159108,SAOR,22-5778,N,Y,40.5664454,-122.3277791
MLS Listing,,Single Family Residential,37214 Superior Ave,Burney,CA,96013,300000,3,2.0,.....Please Select,1387,13939,2004,1,216,,Active,,,https://www.redfin.com/CA/Burney/37214-Superior-Ave-96013/home/121809580,SAOR,22-5777,N,Y,40.8835983,-121.6623455
MLS Listing,,Condo/Co-op,1394 SE Court Ave,Roseburg,OR,97470,200000,2,1.5,Roseburg,1320,,1975,1,152,150,Active,,,https://www.redfin.com/OR/Roseburg/1394-SE-Court-St-97470/home/25773907,RMLS,22431746,N,Y,43.2118279,-123.337715
MLS Listing,,Single Family Residential,13280 Pala Mesa Cir,Redding,CA,96003,995000,4,2.5,TIERRA OAKS,2680,130680,2002,1,371,,Active,December-17-2022 12:00 PM,December-17-2022 03:00 PM,https://www.redfin.com/CA/Redding/13280-Pala-Mesa-Cir-96003/home/161760789,SAOR,22-5776,N,Y,40.6738544,-122.3330005
MLS Listing,,Single Family Residential,1830 Eakin Rd,Azalea,OR,97410,835000,3,2.0,Azalea,1896,1588197,1983,1,440,,Active,,,https://www.redfin.com/OR/Azalea/1830-Eakins-Rd-97410/home/143087476,RMLS,22522482,N,Y,42.7831574,-123.2430438
MLS Listing,,Single Family Residential,3851 Deerlick Springs Rd,Douglas City,CA,96024,180000,4,2.0,.....Please Select,2000,,,1,90,,Active,,,https://www.redfin.com/CA/Douglas-City/3851-Deerlick-Springs-Rd-96024/home/124434038,SAOR,22-5775,N,Y,40.5711871,-122.9275687
MLS Listing,,Vacant Land,Redwood Hwy,Grants Pass,OR,97527,105000,0,,Grants Pass,,60548,,1,,,Active,,,https://www.redfin.com/OR/GRANTS-PASS/REDWOOD-HWY-97527/home/165786557,MLSCO,220157384,N,Y,42.412602,-123.406404
MLS Listing,,Single Family Residential,6195 Pioneer Rd,Medford,OR,97501,749000,4,2.0,Medford,2780,140699,1958,1,269,,Active,,,https://www.redfin.com/OR/Medford/6195-Pioneer-Rd-97501/home/131135628,MLSCO,220157381,N,Y,42.2782788,-122.894521
