Zipcode,Median Income ,Old Median Income,Growth
ZCTA5 01063,5,0,5
ZCTA5 01066,34,650,-616
ZCTA5 01068,625,3554,-2929
ZCTA5 01069,3732,238,3494
ZCTA5 01070,258,586,-328
ZCTA5 01071,518,628,-110
ZCTA5 01072,609,2337,-1728
ZCTA5 01073,2318,118,2200
ZCTA5 01074,157,7100,-6943
ZCTA5 01075,7328,3650,3678
ZCTA5 01077,3648,223,3425
ZCTA5 01079,237,1036,-799
ZCTA5 01080,895,720,175
ZCTA5 01081,708,4487,-3779
ZCTA5 01082,4689,1207,3482
ZCTA5 01083,934,104,830
ZCTA5 01084,44,15507,-15463
ZCTA5 01085,15608,0,15608
ZCTA5 01088,345,360,-15
ZCTA5 01089,12734,11694,1040
ZCTA5 01092,532,576,-44
ZCTA5 01093,70,119,-49
ZCTA5 01094,31,149,-118
ZCTA5 01095,5417,5345,72
ZCTA5 01096,1058,907,151
ZCTA5 01097,26,25,1
ZCTA5 01098,510,539,-29
ZCTA5 01103,1434,1466,-32
ZCTA5 01104,9208,8905,303
ZCTA5 01105,5206,4901,305
ZCTA5 01106,6015,5956,59
ZCTA5 01107,4234,3721,513
ZCTA5 01108,10213,9128,1085
ZCTA5 01109,9506,9553,-47
ZCTA5 01118,5785,5567,218
ZCTA5 01119,5230,5051,179
ZCTA5 01128,1136,938,198
ZCTA5 01129,2523,2896,-373
ZCTA5 01144,0,3316,-3316
ZCTA5 01151,3664,0,3664
ZCTA5 01201,19952,20577,-625
ZCTA5 01220,3948,3796,152
ZCTA5 01222,289,407,-118
ZCTA5 01223,1223,1035,188
ZCTA5 01224,80,80,0
ZCTA5 01225,1509,1301,208
ZCTA5 01226,2907,2692,215
ZCTA5 01229,88,60,28
ZCTA5 01230,3793,3395,398
ZCTA5 01235,1104,1151,-47
ZCTA5 01236,704,571,133
ZCTA5 01237,1019,1048,-29
ZCTA5 01238,2292,2533,-241
ZCTA5 01240,2158,2096,62
ZCTA5 01242,93,122,-29
ZCTA5 01243,80,118,-38
ZCTA5 01244,68,46,22
ZCTA5 01245,355,344,11
ZCTA5 01247,6527,6891,-364
ZCTA5 01253,434,271,163
ZCTA5 01254,440,451,-11
ZCTA5 01255,309,356,-47
ZCTA5 01256,330,286,44
ZCTA5 01257,1013,843,170
ZCTA5 01258,77,157,-80
ZCTA5 01259,292,240,52
ZCTA5 01260,81,62,19
ZCTA5 01262,688,524,164
ZCTA5 01264,100,74,26
ZCTA5 01266,421,717,-296
ZCTA5 01267,2541,2900,-359
ZCTA5 01270,372,286,86
ZCTA5 01301,8190,7849,341
ZCTA5 01330,704,640,64
ZCTA5 01331,5450,5155,295
ZCTA5 01337,1007,1115,-108
ZCTA5 01338,63,79,-16
ZCTA5 01339,627,702,-75
ZCTA5 01340,797,703,94
ZCTA5 01341,730,714,16
ZCTA5 01342,343,542,-199
ZCTA5 01343,60,38,22
ZCTA5 01344,681,594,87
ZCTA5 01346,180,181,-1
ZCTA5 01347,96,45,51
ZCTA5 01349,327,360,-33
ZCTA5 01350,52,61,-9
ZCTA5 01351,1046,1025,21
ZCTA5 01354,602,593,9
ZCTA5 01355,413,358,55
ZCTA5 01360,1213,1229,-16
ZCTA5 01364,3021,3377,-356
ZCTA5 01366,458,477,-19
ZCTA5 01367,178,232,-54
ZCTA5 01368,551,443,108
ZCTA5 01370,1694,1732,-38
ZCTA5 01373,2355,2006,349
ZCTA5 01375,1666,1488,178
ZCTA5 01376,2312,2376,-64
ZCTA5 01378,319,313,6
ZCTA5 01379,381,447,-66
ZCTA5 01380,14,14907,-14893
ZCTA5 01420,16383,2278,14105
ZCTA5 01430,2141,1066,1075
ZCTA5 01431,1297,3058,-1761
ZCTA5 01432,3560,94,3466
ZCTA5 01434,315,1206,-891
ZCTA5 01436,1262,159,1103
ZCTA5 01438,124,7847,-7723
ZCTA5 01440,8904,3778,5126
ZCTA5 01450,3820,1696,2124
ZCTA5 01451,1668,1513,155
ZCTA5 01452,1586,16605,-15019
ZCTA5 01453,17896,3287,14609
ZCTA5 01460,3504,4076,-572
ZCTA5 01462,4447,4202,245
ZCTA5 01463,4370,2149,2221
ZCTA5 01464,2345,129,2216
ZCTA5 01468,1622,1422,200
ZCTA5 01469,2831,2495,336
ZCTA5 01473,3122,2672,450
ZCTA5 01474,680,779,-99
ZCTA5 01475,3726,3907,-181
ZCTA5 01501,6534,6040,494
ZCTA5 01503,1311,1072,239
ZCTA5 01504,3874,3367,507
ZCTA5 01505,1834,1618,216
ZCTA5 01506,1395,1342,53
ZCTA5 01507,4776,4411,365
ZCTA5 01510,6455,5478,977
ZCTA5 01515,835,760,75
ZCTA5 01516,3179,3138,41
ZCTA5 01518,1280,1140,140
ZCTA5 01519,2652,2293,359
ZCTA5 01520,6021,5139,882
ZCTA5 01521,1106,997,109
ZCTA5 01522,1159,1160,-1
ZCTA5 01523,2801,2258,543
ZCTA5 01524,2180,2492,-312
ZCTA5 01525,31,90,-59
ZCTA5 01527,5165,5132,33
ZCTA5 01529,1275,1004,271
ZCTA5 01531,430,374,56
ZCTA5 01532,5662,5195,467
ZCTA5 01534,2367,1761,606
ZCTA5 01535,1883,1968,-85
ZCTA5 01536,2914,2571,343
ZCTA5 01537,781,979,-198
ZCTA5 01540,3988,4162,-174
ZCTA5 01541,1298,1206,92
ZCTA5 01542,992,604,388
ZCTA5 01543,3052,2639,413
ZCTA5 01545,13808,13104,704
ZCTA5 01550,7094,6396,698
ZCTA5 01560,1902,1521,381
ZCTA5 01561,17,112,-95
ZCTA5 01562,5186,4678,508
ZCTA5 01564,3248,2804,444
ZCTA5 01566,2610,2454,156
ZCTA5 01568,2651,2610,41
ZCTA5 01569,5327,4931,396
ZCTA5 01570,7414,7077,337
ZCTA5 01571,4199,3951,248
ZCTA5 01581,7980,6943,1037
ZCTA5 01583,2784,2311,473
ZCTA5 01585,1968,1766,202
ZCTA5 01588,4005,4029,-24
ZCTA5 01590,3332,2975,357
ZCTA5 01602,10527,9089,1438
ZCTA5 01603,7496,7214,282
ZCTA5 01604,16869,14772,2097
ZCTA5 01605,11626,10705,921
ZCTA5 01606,9198,8318,880
ZCTA5 01607,3916,3651,265
ZCTA5 01608,1945,1465,480
ZCTA5 01609,8439,7423,1016
ZCTA5 01610,8866,7355,1511
ZCTA5 01611,783,960,-177
ZCTA5 01612,1588,1547,41
ZCTA5 01701,13189,12228,961
ZCTA5 01702,14810,14343,467
ZCTA5 01718,228,174,54
ZCTA5 01719,2180,2028,152
ZCTA5 01720,8678,7975,703
ZCTA5 01721,7587,6512,1075
ZCTA5 01730,5540,4971,569
ZCTA5 01731,478,437,41
ZCTA5 01740,1853,1635,218
ZCTA5 01741,1800,1796,4
ZCTA5 01742,6357,6520,-163
ZCTA5 01745,215,140,75
ZCTA5 01746,5354,4868,486
ZCTA5 01747,2116,2174,-58
ZCTA5 01748,6556,4940,1616
ZCTA5 01749,8035,7803,232
ZCTA5 01752,17147,15918,1229
ZCTA5 01754,4269,4301,-32
ZCTA5 01756,2076,2034,42
ZCTA5 01757,11487,10568,919
ZCTA5 01760,15153,13340,1813
ZCTA5 01770,1515,1428,87
ZCTA5 01772,3364,3212,152
ZCTA5 01773,2123,1808,315
ZCTA5 01775,2646,2331,315
ZCTA5 01776,6208,5646,562
