SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,37 Teal,Pleasant Valley,NY,12569,468900,3,2.5,Dutchess County,2220,46609,1974,49,211,,Active,,,https://www.redfin.com/NY/Pleasant-Valley/37-Teal-Ln-12569/home/92768183,MHMLS,412010,N,Y,41.7440859,-73.829845
MLS Listing,,Single Family Residential,595 Litchfield Rd,Harwinton,CT,06791,319000,4,1.0,Harwinton,2216,10890,1915,49,144,,Active,,,https://www.redfin.com/CT/Harwinton/595-Litchfield-Rd-06791/home/107252751,Smart MLS,170530626,N,Y,41.7623825,-73.1117665
MLS Listing,,Single Family Residential,2292 Rt 32,Saugerties,NY,12477,339000,3,3.0,Saugerties-Town,1638,21780,1920,1,207,,Active,,,https://www.redfin.com/NY/Saugerties/2292-NY-32-12477/home/140414761,HVCRMLS,20223785,N,Y,42.0476476,-73.9563485
MLS Listing,,Single Family Residential,167 Botti Dr,Hunter,NY,12442,799000,3,2.5,Hunter,1900,20473,1990,1,421,,Active,,,https://www.redfin.com/NY/HUNTER/167-BOTTI-DR-12442/home/129716486,CGNDMLS,144775,N,Y,42.211807,-74.204834
MLS Listing,,Single Family Residential,55 Woodlands Trl,Clinton,NY,12514,2700000,3,4.0,Dutchess County,3057,558004,2023,1,883,,Active,,,https://www.redfin.com/NY/Clinton/55-Woodlands-Trl-12514/home/170445565,MHMLS,412743,N,Y,41.8374,-73.792
MLS Listing,,Single Family Residential,62 Linderman Ave,Kingston,NY,12401,199900,3,1.5,Kingston,1856,12632,1910,1,108,,Active,,,https://www.redfin.com/NY/Kingston/62-Linderman-Ave-12401/home/140186445,Global MLS,202231082,N,Y,41.9258829,-74.0191543
MLS Listing,,Single Family Residential,47 Benner Rd,Red Hook,NY,12571,425000,3,2.0,Dutchess,1712,16552,1960,1,248,,Active,,,https://www.redfin.com/NY/Red-Hook/47-Benner-Rd-12571/home/73372319,HVCRMLS,20223783,N,Y,41.9930573,-73.8873651
MLS Listing,,Single Family Residential,256 Newfield Rd,Torrington,CT,06790,219900,3,2.0,Newfield,1389,9583,1943,1,158,,Active,,,https://www.redfin.com/CT/Torrington/256-Newfield-Rd-06790/home/107293904,Smart MLS,170540050,N,Y,41.823922,-73.1215219
MLS Listing,,Single Family Residential,16 Mountain View Ter,New Milford,CT,06776,400000,3,2.5,New Milford,2750,37461,1969,1,145,,Active,,,https://www.redfin.com/CT/New-Milford/16-Mountain-View-Ter-06776/home/107692059,Smart MLS,170540062,N,Y,41.6131768,-73.4049224
MLS Listing,,Multi-Family (2-4 Unit),18 Furnace Bank Rd,Wassaic,NY,12592,415000,2,2.0,Wassaic,1920,8712,1900,1,216,,Active,,,https://www.redfin.com/NY/Wassaic/18-Furnace-Bank-Rd-12592/home/92745720,OneKey,H6223668,N,Y,41.8059014,-73.5626105
MLS Listing,,Condo/Co-op,1304 Cherry Hill Dr,Poughkeepsie Twp,NY,12603,155000,2,1.5,Dutchess County,1245,,1982,1,124,519,Active,,,https://www.redfin.com/NY/Arlington/1304-Cherry-Hill-Dr-12603/home/92774942,MHMLS,412804,N,Y,41.704012,-73.88007
MLS Listing,,Single Family Residential,175 Glen Street St,Kingston,NY,12401,189000,1,1.0,"Kingston,city",434,19166,1940,1,435,,Active,,,https://www.redfin.com/NY/Kingston/175-Glen-St-12401/home/140411894,HVCRMLS,20223781,N,Y,41.9182589,-74.0228285
MLS Listing,,Single Family Residential,100 Ridge Rd,Shokan,NY,12481,349900,3,2.5,Olive,1820,52272,1974,1,192,,Active,,,https://www.redfin.com/NY/Shokan/100-Ridge-Rd-12481/home/140189495,HVCRMLS,20223779,N,Y,41.9792208,-74.2090134
MLS Listing,,Single Family Residential,77 Soper Rd,New Paltz,NY,12561,225000,3,2.5,Esopus,2653,56628,1945,1,85,,Active,,,https://www.redfin.com/NY/New-Paltz/77-Soper-Rd-12561/home/140099975,HVCRMLS,20223777,N,Y,41.8320868,-74.0130622
MLS Listing,,Single Family Residential,3 Trotter Ln,Poughkeepsie,NY,12603,749000,4,2.5,Coachlight Estates,3171,,2022,1,236,,Active,December-10-2022 12:00 PM,December-10-2022 03:00 PM,https://www.redfin.com/NY/Poughkeepsie/3-Trotter-Ln-12603/home/92773515,OneKey,H6223579,N,Y,41.670926,-73.889107
MLS Listing,,Single Family Residential,247 City View Ter,Kingston,NY,12401,849000,5,3.5,Ulster-Town of,2380,18295,1969,1,357,,Active,,,https://www.redfin.com/NY/Kingston/247-City-View-Ter-12401/home/140098642,HVCRMLS,20223775,N,Y,41.9565601,-74.0271893
MLS Listing,,Vacant Land,166 Old Turnpike Rd,Woodridge,NY,12789,50000,,,Woodridge,,223463,,1,,,Active,,,https://www.redfin.com/NY/Fallsburg/166-Old-Turnpike-Rd-12789/home/138925764,OneKey,H6223497,N,Y,41.6895348,-74.548043
MLS Listing,,Single Family Residential,25 Burgevin St,Kingston,NY,12401,795000,3,2.5,"Kingston,city",3251,52272,1875,1,245,,Active,,,https://www.redfin.com/NY/Kingston/25-Burgevin-St-12401/home/140266258,HVCRMLS,20223774,N,Y,41.9238204,-74.0236547
MLS Listing,,Single Family Residential,406 Roxbury Rd,Claverack,NY,12534,550000,1,1.0,Claverack,1050,871200,1950,1,524,,Active,,,https://www.redfin.com/NY/Hudson/406-Roxbury-Rd-12534/home/183293486,CGNDMLS,144771,N,Y,42.237015,-73.6648806
MLS Listing,,Single Family Residential,31 Alexander Blvd,Poughkeepsie,NY,12603,459999,4,3.5,Poughkeepsie,1872,69696,1995,1,246,,Active,,,https://www.redfin.com/NY/Poughkeepsie/31-Alexander-Blvd-12603/home/54860325,OneKey,H6223658,N,Y,41.6344457,-73.9002726
MLS Listing,,Multi-Family (2-4 Unit),83 Main St,Esopus,NY,12487,425000,4,5.0,Esopus,840,21344,1920,1,506,,Active,,,https://www.redfin.com/NY/Esopus/83-Main-St-12429/home/140128718,HVCRMLS,20223773,N,Y,41.8288509,-73.9652108
MLS Listing,,Single Family Residential,40 High St,Watertown,CT,06795,238500,3,1.0,Watertown,977,13939,1958,1,244,,Active,,,https://www.redfin.com/CT/Watertown/40-High-St-06795/home/107310707,Smart MLS,170539994,N,Y,41.601018,-73.1033862
MLS Listing,,Vacant Land,139 Stilson Hill Rd,New Milford,CT,06776,174900,,,Gaylordsville,,91476,,1,,,Active,,,https://www.redfin.com/CT/New-Milford/139-Stilson-Hill-Rd-06776/home/107714601,Smart MLS,170540005,N,Y,41.5979405,-73.4722332
MLS Listing,,Condo/Co-op,1229 Winsted Rd #91,Torrington,CT,06790,170000,2,1.5,Torrington,1226,,1987,1,139,325,Active,,,https://www.redfin.com/CT/Torrington/1229-Winsted-Rd-06790/unit-91/home/107289712,Smart MLS,170538980,N,Y,41.838904,-73.105708
MLS Listing,,Single Family Residential,165 Pineridge Rd,Torrington,CT,06790,329000,4,2.0,Torringford,1614,12632,1949,1,204,,Pre On-Market,December-11-2022 11:00 AM,December-11-2022 01:00 PM,https://www.redfin.com/CT/Torrington/165-Pineridge-Rd-06790/home/107285590,Smart MLS,170528907,N,Y,41.810116,-73.0981004
MLS Listing,,Single Family Residential,33 Lawrenceville St,Kingston,NY,12401,305000,3,1.0,Kingston,1334,5001,1955,1,229,,Active,December-11-2022 11:00 AM,December-11-2022 01:00 PM,https://www.redfin.com/NY/Kingston/33-Lawrenceville-St-12401/home/140426893,OneKey,H6223643,N,Y,41.9556762,-73.9961222
MLS Listing,,Multi-Family (2-4 Unit),58 Maple St,Winchester,CT,06098,188000,3,3.0,Winsted,1803,10454,1880,1,104,,Active,,,https://www.redfin.com/CT/Winsted/58-Maple-St-06098/home/107322992,Smart MLS,170539972,N,Y,41.9198818,-73.0679901
MLS Listing,,Vacant Land,1144 Ashley Falls Rd,Sheffield,MA,01222,399000,,,Berkshire - South,,144489,,1,,,Active,,,https://www.redfin.com/MA/Ashley-Falls/1144-Ashley-Falls-Rd-01222/home/178691658,BCMLS,239434,N,Y,42.0578519,-73.337285
MLS Listing,,Single Family Residential,204 Roosevelt Dr,Poughquag,NY,12570,649000,4,3.5,Poughquag,3965,94525,2002,1,164,152,Active,,,https://www.redfin.com/NY/Poughquag/204-Roosevelt-Dr-12570/home/73372476,OneKey,H6223302,N,Y,41.6155336,-73.6902483
MLS Listing,,Single Family Residential,Lot 9 Jude Dr,Lagrangeville,NY,12540,429000,3,2.5,Fox Meadow,2794,104980,2023,1,154,,Active,,,https://www.redfin.com/NY/Lagrangeville/9-Jude-Dr-12540/home/54865846,OneKey,H6223598,N,Y,41.674706,-73.748558
MLS Listing,,Single Family Residential,95 Aetna Ave,Torrington,CT,06790,250000,3,1.0,Torrington,1448,9583,1950,1,173,,Active,,,https://www.redfin.com/CT/Torrington/95-Aetna-Ave-06790/home/107286705,Smart MLS,170539673,N,Y,41.8013235,-73.1430049
MLS Listing,,Single Family Residential,280 Tinker St,Bearsville,NY,12498,749000,2,1.0,Woodstock,1622,43124,1930,1,462,,Active,,,https://www.redfin.com/NY/Woodstock/280-Tinker-St-12498/home/140669486,HVCRMLS,20223767,N,Y,42.0416079,-74.1522324
MLS Listing,,Single Family Residential,49 High St,Winchester,CT,06098,249900,4,1.5,Winsted,2862,10454,1904,1,87,,Active,,,https://www.redfin.com/CT/Winsted/49-High-St-06098/home/175488634,Smart MLS,170539588,N,Y,41.9225756,-73.0733392
MLS Listing,,Single Family Residential,86 Glendale Ave,Winchester,CT,06098,264900,3,1.5,Winchester,1750,35283,1948,1,151,,Active,,,https://www.redfin.com/CT/Winsted/86-Glendale-Ave-06098/home/107324041,Smart MLS,170539176,N,Y,41.9170511,-73.050789
MLS Listing,,Multi-Family (2-4 Unit),171 Salem St,Esopus,NY,12429,350000,2,3.0,Esopus,1021,6050,1890,1,343,,Active,,,https://www.redfin.com/NY/ESOPUS/171-SALEM-ST-12429/home/140561699,HVCRMLS,20223766,N,Y,41.90609,-73.978881
MLS Listing,,Multi-Family (2-4 Unit),10 Kris Korner Dr,Marlboro,NY,12542,629000,4,4.0,Marlboro,1848,83635,1988,1,340,,Active,,,https://www.redfin.com/NY/Marlboro/10-Kris-Korner-Dr-12542/home/140094792,OneKey,H6223600,N,Y,41.6293272,-73.9574506
MLS Listing,,Vacant Land,00 Sherman Rd,Wawarsing,NY,12489,245000,,,Wawarsing,,2645399,,1,,,Active,,,https://www.redfin.com/NY/Wawarsing/00-Sherman-RD-12489/home/183281962,OneKey,H6223612,N,Y,41.7496976,-74.3572811
