SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2567 Parkwood Dr SE,Port Orchard,WA,98366,499900,5,3.0,Parkwood,2500,10890,1962,1,200,,Active,December-17-2022 12:00 PM,December-17-2022 02:00 PM,https://www.redfin.com/WA/Port-Orchard/2567-Parkwood-Dr-SE-98366/home/2413920,NWMLS,2022936,N,Y,47.5249993,-122.604941
MLS Listing,,Single Family Residential,10302 10th Avenue Ct S,Tacoma,WA,98444,475000,4,3.0,Tacoma,1776,9543,2000,1,267,,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/10302-10th-Ave-Ct-S-98444/home/2870575,NWMLS,2022436,N,Y,47.1636464,-122.4483926
MLS Listing,,Single Family Residential,9315 N Syracuse St,Portland,OR,97203,374900,2,1.0,St John's,1616,4356,1906,1,232,,Active,December-18-2022 11:00 AM,December-18-2022 01:00 PM,https://www.redfin.com/OR/Portland/9315-N-Syracuse-St-97203/home/26298240,RMLS,22024557,N,Y,45.5934679,-122.7602686
MLS Listing,,Single Family Residential,7808 NE 174th Ave,Vancouver,WA,98682,740000,4,2.5,Hockinson,2589,7837,2017,1,286,80,Active,,,https://www.redfin.com/WA/Vancouver/7808-NE-174th-Ave-98682/home/144012525,NWMLS,2022496,N,Y,45.6798943,-122.4939394
MLS Listing,,Single Family Residential,17597 SE Rose St,Milwaukie,OR,97267,645500,3,2.0,Milwaukie,1700,8712,1952,1,380,,Active,,,https://www.redfin.com/OR/Milwaukie/17597-SE-Rose-St-97267/home/26052627,RMLS,22164692,N,Y,45.3959047,-122.6098686
MLS Listing,,Single Family Residential,1374 SW 216th Pl,Beaverton,OR,97003,569900,4,3.0,Beaverton,2020,5227,1993,2,282,,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/OR/Beaverton/1374-SW-216th-Pl-97006/home/25846130,RMLS,22069539,N,Y,45.5098854,-122.8985287
MLS Listing,,Single Family Residential,1426 SW 4th St,Gresham,OR,97080,374900,2,2.0,Gresham,1728,6969,1975,2,217,,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/OR/Gresham/1426-SW-4th-St-97080/home/26316488,RMLS,22305651,N,Y,45.49442,-122.44613
MLS Listing,,Condo/Co-op,1811 NW Couch St #301,Portland,OR,97209,290000,2,1.0,"ALPHABET DISTRICT, NW FLATS",739,,1915,2,392,455,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/OR/Portland/1811-NW-Couch-St-97209/unit-301/home/26595421,RMLS,22005861,N,Y,45.523793,-122.6896083
MLS Listing,,Single Family Residential,3306 NE 110th St,Vancouver,WA,98686,650000,5,3.0,Salmon Creek,2647,9874,1979,2,246,,Active,,,https://www.redfin.com/WA/Vancouver/3306-NE-110th-St-98686/home/14585095,NWMLS,2020897,N,Y,45.701039,-122.6367909
MLS Listing,,Single Family Residential,4206 N Winnifred St,Tacoma,WA,98407,685000,4,2.0,Tacoma,1520,5750,1952,3,451,,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/WA/Tacoma/4206-N-Winnifred-St-98407/home/2818937,NWMLS,2022343,N,Y,47.2874682,-122.5126764
