SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5503 W Shady Trl,Old Hickory,TN,37138,400000,3,2.5,Langford Farms 1,2103,39204,1981,,190,,Active,,,https://www.redfin.com/TN/Old-Hickory/5503-W-Shady-Trl-37138/home/103888518,REALTRACS,2464773,N,Y,36.2337091,-86.5767222
MLS Listing,,Single Family Residential,14021 Camden Cir,Huntsville,AL,35803,400000,4,2.5,Oakhurst,2463,13939,1998,2,162,,Active,,,https://www.redfin.com/AL/Huntsville/14021-Camden-Cir-35803/home/127413581,VMLS,1824013,N,Y,34.6044976,-86.5469903
MLS Listing,,Single Family Residential,119 Celestial Way,Mill Spring,NC,28756,325000,3,2.0,Mill Spring,1440,54450,2002,3,226,,Active,,,https://www.redfin.com/NC/Mill-Spring/119-Celestial-Way-28756/home/102028086,CANOPYMLS,3925662,N,Y,35.4160455,-82.213114
MLS Listing,,Single Family Residential,6 S Penobscot Ct,Simpsonville,SC,29681,370000,4,2.5,Gresham Woods,2000,12632,,3,185,34,Active,December-17-2022 02:00 PM,December-17-2022 04:00 PM,https://www.redfin.com/SC/Simpsonville/6-S-Penobscot-Ct-29681/home/91564528,Greater Greenville MLS,1487621,N,Y,34.7982335,-82.21004
MLS Listing,,Condo/Co-op,810 Appleby Dr,Simpsonville,SC,29681,310000,4,2.5,The Village at Adams Mill,2000,2613,,7,155,125,Active,December-10-2022 01:00 PM,December-10-2022 03:00 PM,https://www.redfin.com/SC/Simpsonville/810-Appleby-Dr-29681/home/170117617,Greater Greenville MLS,1487425,N,Y,34.774666,-82.2533717
MLS Listing,,Single Family Residential,145 Flintshire Ln,Hendersonville,TN,37075,839900,4,3.0,Ivy Pointe,2891,13939,2018,,291,10,Active,December-10-2022 02:00 PM,December-10-2022 04:00 PM,https://www.redfin.com/TN/Hendersonville/145-Flintshire-Ln-37075/home/169596498,REALTRACS,2461907,N,Y,36.3566228,-86.5820042
MLS Listing,,Single Family Residential,293 E Carter Rd,Portland,TN,37148,469900,4,2.5,Tom Mason Property,2300,157687,1999,,204,,Active,December-10-2022 10:00 AM,December-10-2022 01:00 PM,https://www.redfin.com/TN/Portland/293-E-Carter-Rd-37148/home/92234119,REALTRACS,2463211,N,Y,36.5984174,-86.4158241
MLS Listing,,Single Family Residential,3524 Kybald Ct,Murfreesboro,TN,37128,535000,4,2.5,Sheffield Park Sec 2,3000,11325,2016,,178,56,Active,,,https://www.redfin.com/TN/Murfreesboro/3524-Kybald-Ct-37128/home/107606074,REALTRACS,2463208,N,Y,35.794907,-86.4626095
MLS Listing,,Townhouse,1101 Downs Blvd #110,Franklin,TN,37064,410000,3,2.5,Hardison Hills Sec 2,1408,871,2004,,291,221,Active,December-11-2022 02:00 PM,December-11-2022 04:00 PM,https://www.redfin.com/TN/Franklin/1101-Downs-Blvd-37064/unit-110/home/60648250,REALTRACS,2462908,N,Y,35.9113132,-86.8971901
MLS Listing,,Single Family Residential,228 Hickory Pointe Dr,Lebanon,TN,37087,449900,4,3.0,Hickory Knoll Ph 1,2066,11325,2019,,218,40,Active,,,https://www.redfin.com/TN/Lebanon/228-Hickory-Pointe-DR-37087/home/183109666,REALTRACS,2462736,N,Y,36.20309199,-86.36182348
MLS Listing,,Single Family Residential,1010 Broadmoor Dr,Nashville,TN,37216,499900,3,2.0,Broadmoor,1694,9583,1948,,295,,Active,,,https://www.redfin.com/TN/Nashville/1010-Broadmoor-Dr-37216/home/60845473,REALTRACS,2462570,N,Y,36.2290189,-86.7265871
MLS Listing,,Single Family Residential,6324 Fisk Ave,Chattanooga,TN,37421,209000,4,2.0,Chattanooga,1424,,2005,11,147,,Active,,,https://www.redfin.com/TN/Chattanooga/6324-Fisk-Ave-37421/home/121667466,GCAR,1365848,N,Y,35.036643,-85.1825425
MLS Listing,,Townhouse,3443 Donerail Cir,Murfreesboro,TN,37128,279000,2,2.5,The Villas At Evergreen Fa,1260,435,2021,,221,125,Active,,,https://www.redfin.com/TN/Murfreesboro/3443-Donerail-Cir-37128/home/183020834,REALTRACS,2461462,N,Y,35.8236343,-86.4622001
MLS Listing,,Single Family Residential,3905 Crestwood Dr,Cleveland,TN,37312,329900,4,2.5,Cleveland,2350,24829,1966,14,140,,Active,,,https://www.redfin.com/TN/Cleveland/3905-Crestwood-Dr-37312/home/114964086,GCAR,1365753,N,Y,35.2045759,-84.8665453
