SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,3266 S 432 Rd,Pryor,OK,74361,599000,,,Mayes Co Unplatted,,1089000,,11,,,Active,,,https://www.redfin.com/OK/Pryor/3266-S-432-Rd-74361/home/177421931,NORES,2241359,N,Y,36.2608805,-95.3110356
MLS Listing,,Vacant Land,2747 W 520 Rd,Pryor,OK,74361,399000,,,Mayes Co Unplatted,,1742400,,11,,,Active,,,https://www.redfin.com/OK/Pryor/2747-W-520-Rd-74361/home/177421776,NORES,2241354,N,Y,36.2628992,-95.3051314
MLS Listing,,Single Family Residential,3408 Partridge Rd,Oklahoma City,OK,73120,699990,3,4.0,Quail Creek 8th,4137,21340,1967,15,169,,Active,,,https://www.redfin.com/OK/Oklahoma-City/3408-Partridge-Rd-73120/home/71921017,MLSOK,1040479,N,Y,35.5951066,-97.5790033
MLS Listing,,Single Family Residential,5416 NW 109th St,Oklahoma City,OK,73162,225000,3,2.0,Bluff Creek Sec 2,1828,10742,1979,16,123,,Active,,,https://www.redfin.com/OK/Oklahoma-City/5416-NW-109th-St-73162/home/71995456,MLSOK,1040148,N,Y,35.5813248,-97.616272
MLS Listing,,Single Family Residential,8100 NW 101st St,Oklahoma City,OK,73162,295900,4,3.0,Harvest Hills Sec 2,2710,9618,1977,24,109,,Active,,,https://www.redfin.com/OK/Oklahoma-City/8100-NW-101st-St-73162/home/78496865,MLSOK,1038956,N,Y,35.573068,-97.6590073
MLS Listing,,Single Family Residential,1833 Red Prairie Dr,Edmond,OK,73025,574900,4,3.0,Oak Tree,3983,9749,1998,30,144,146,Active,December-18-2022 01:00 PM,December-18-2022 03:00 PM,https://www.redfin.com/OK/Edmond/1833-Red-Prairie-Dr-73025/home/71458347,MLSOK,1038835,N,Y,35.7127291,-97.5090093
MLS Listing,,Single Family Residential,930 Cedar Hill Pl,Midwest City,OK,73110,329556,3,2.0,Tall Oaks,1894,9200,2022,30,174,,Active,,,https://www.redfin.com/OK/Midwest-City/930-Cedar-Hill-Pl-73110/home/78589941,MLSOK,1038879,N,Y,35.4706417,-97.3832185
MLS Listing,,Single Family Residential,9109 NE 3rd St,Oklahoma City,OK,73130,190000,5,2.5,Brown Heights,1590,12615,1965,37,119,,Active,,,https://www.redfin.com/OK/Midwest-City/9109-NE-3rd-St-73130/home/78450600,MLSOK,1037033,N,Y,35.4673839,-97.368179
MLS Listing,,Single Family Residential,2305 Woodford Way,Edmond,OK,73034,339000,4,2.5,Chimney Hill IV Of Edmond,2994,8712,1984,43,113,29,Active,,,https://www.redfin.com/OK/Edmond/2305-Woodford-Way-73034/home/71653637,MLSOK,1037742,N,Y,35.641441,-97.449904
MLS Listing,,Single Family Residential,6925 Timber Crest Way,Edmond,OK,73034,495000,4,3.0,Timbercrest,2797,10498,2018,44,177,80,Active,,,https://www.redfin.com/OK/Edmond/6925-Timber-Crest-Way-73034/home/112715944,MLSOK,1034681,N,Y,35.6879141,-97.3913773
MLS Listing,,Single Family Residential,13501 Creek View Dr,Edmond,OK,73025,470000,4,3.5,Homestead At Rogers Ranch Ph 1,3030,37462,2020,80,155,42,Active,,,https://www.redfin.com/OK/Edmond/13501-Creek-View-Dr-73025/home/143267177,MLSOK,1027992,N,Y,35.7399694,-97.5599744
