SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,660 Madrid Dr,Kissimmee,FL,34758,269900,3,2.0,POINCIANA VILLAGE 01 NEIGHBORHOOD 03 WEST,1182,8930,1995,1,228,23,Active,,,https://www.redfin.com/FL/Kissimmee/660-Madrid-Dr-34758/home/46562912,Stellar MLS,O6078570,N,Y,28.1577005,-81.4589896
MLS Listing,,Single Family Residential,709 Grazie Loop,Davenport,FL,33837,470000,4,3.0,RESERVE/AVIANA,2375,8895,,1,198,149,Active,,,https://www.redfin.com/FL/Davenport/709-Grazie-Loop-33837/home/177179331,Stellar MLS,O6078373,N,Y,28.2310072,-81.5664824
MLS Listing,,Single Family Residential,12414 Chamberlain Blvd,Port Charlotte,FL,33953,279000,2,2.0,PORT CHARLOTTE SEC 047,1440,10000,1982,1,194,,Active,,,https://www.redfin.com/FL/Port-Charlotte/12414-Chamberlain-Blvd-33953/home/47451361,Stellar MLS,T3418473,N,Y,27.0220193,-82.2440055
MLS Listing,,Single Family Residential,18802 Ashcroft Cir,Port Charlotte,FL,33948,659900,3,3.0,PORT CHARLOTTE SEC 079,1769,10000,2003,1,373,,Active,,,https://www.redfin.com/FL/Port-Charlotte/18802-Ashcroft-Cir-33948/home/47485229,Stellar MLS,T3418251,N,Y,26.9553766,-82.1385107
MLS Listing,,Single Family Residential,29781 69th St N,Clearwater,FL,33761,399000,3,2.0,CURLEW CITY,1333,5998,1967,2,299,,Active,December-17-2022 12:00 PM,December-17-2022 03:00 PM,https://www.redfin.com/FL/Clearwater/29781-69th-St-N-33761/home/48046407,Stellar MLS,T3417954,N,Y,28.0444529,-82.7343138
MLS Listing,,Single Family Residential,142 Lakewood Dr,Debary,FL,32713,325000,3,2.0,PLANTATION ESTATES UNIT 02,1705,15000,1953,3,191,,Active,,,https://www.redfin.com/FL/DeBary/142-Lakewood-Dr-32713/home/64534804,Stellar MLS,O6076459,N,Y,28.8854535,-81.3002891
MLS Listing,,Condo/Co-op,11 Avenue DE LA Mer #1206,Palm Coast,FL,32137,599000,2,2.0,HAMMOCK DUNES LA GRANDE PROVENCE,1490,2235,1992,8,402,897,Active,,,https://www.redfin.com/FL/Palm-Coast/11-Ave-De-La-Mer-32137/unit-1206/home/136936024,Stellar MLS,O6076254,N,Y,29.5760416,-81.1740177
MLS Listing,,Single Family Residential,5547 Loomis Ln,The Villages,FL,32163,445000,3,2.0,VILLAGES/SOUTHERN OAKS UN #83V,1633,5350,2021,8,273,,Active,December-17-2022 10:30 AM,December-17-2022 01:30 PM,https://www.redfin.com/FL/THE-VILLAGES/5547-LOOMIS-LN-32163/home/173589515,Stellar MLS,O6076865,N,Y,28.798562,-81.979978
MLS Listing,,Condo/Co-op,440 S Gulfview Blvd #505,Clearwater,FL,33767,590000,2,2.0,440 WEST CONDO,1186,212824,1975,8,497,844,Active,,,https://www.redfin.com/FL/Clearwater/440-S-Gulfview-Blvd-33767/unit-505/home/47942803,Stellar MLS,T3417053,N,Y,27.9688365,-82.8300231
MLS Listing,,Single Family Residential,14284 Murcott Blossom Blvd,Winter Garden,FL,34787,510000,3,2.5,LAKEVIEW POINTE/HORIZON WEST P,2110,3519,2017,9,242,250,Active,,,https://www.redfin.com/FL/Winter-Garden/14284-Murcott-Blossom-Blvd-34787/home/112769553,Stellar MLS,O6076242,N,Y,28.4408544,-81.6089186
MLS Listing,,Single Family Residential,20010 Painting Nature Ln,Tampa,FL,33647,939000,6,5.0,EASTON PARK PH 2B,4965,10877,2012,9,189,85,Active,,,https://www.redfin.com/FL/Tampa/20010-Painting-Nature-Ln-33647/home/47063294,Stellar MLS,U8184433,N,Y,28.1517288,-82.281094
