SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,LOT 1 Tanager Cv,Dublin,VA,24084,225000,,,Dublin,,60984,,1,,42,Active,,,https://www.redfin.com/VA/Dublin/LOT-1-Tanager-CV-24084/home/179810466,MLSRV,890263,N,Y,37.081252,-80.616023
MLS Listing,,Single Family Residential,728 Indian Creek Rd NW,Willis,VA,24380,165000,3,2.0,Willis,1200,182952,1978,1,138,,Active,,,https://www.redfin.com/VA/Willis/728-Indian-Creek-Rd-NW-24380/home/101564515,MLSRV,892392,N,Y,36.9272049,-80.5489016
MLS Listing,,Single Family Residential,4614 Worrells Way,Dublin,VA,24084,389900,4,2.5,Dublin,2070,22215,2022,1,188,25,Active,,,https://www.redfin.com/VA/Dublin/4614-Worrells-WAY-24084/home/179049658,MLSRV,893950,N,Y,37.092890604313,-80.735017653656
MLS Listing,,Vacant Land,5231 Country Meadow Dr,Dublin,VA,24084,82750,,,Dublin,,22215,,1,,25,Active,,,https://www.redfin.com/VA/Unknown/5231-Meadow-Way-24084/home/182755638,MLSRV,894313,N,Y,37.088898,-80.72977
MLS Listing,,Single Family Residential,5335 Old Pagelyn Rd,Radford,VA,24141,149000,3,2.0,Radford,1200,43560,1861,1,124,,Active,,,https://www.redfin.com/VA/Radford/5335-Old-Pagelyn-Rd-24141/home/129424393,MLSRV,890522,N,Y,37.043415,-80.5624856
MLS Listing,,Vacant Land,LOT 6 Tanager Cv,Dublin,VA,24084,325000,,,Dublin,,95832,,1,,42,Active,,,https://www.redfin.com/VA/Dublin/LOT-6-6th-St-24084/home/179810935,MLSRV,890272,N,Y,37.081485,-80.615644
MLS Listing,,Mobile/Manufactured Home,1027 Hylton Rd NW,Indian Valley,VA,24105,420000,6,5.0,Indian Valley,3348,121096,2000,1,125,,Active,,,https://www.redfin.com/VA/Indian-Valley/1027-Hylton-Rd-NW-24105/home/101564682,MLSRV,894108,N,Y,36.891236,-80.559361
MLS Listing,,Vacant Land,0 Macks Mountain Rd,Hiwassee,VA,24347,2788800,,,Hiwassee,,,,1,,,Active,,,https://www.redfin.com/VA/Hiwassee/0-Macks-Mountain-RD-24347/home/181481075,MLSRV,892737,N,Y,36.918823,-80.667726
MLS Listing,,Vacant Land,LOT 8 Tanager Cv,Dublin,VA,24084,250000,,,Dublin,,69260,,1,,42,Active,,,https://www.redfin.com/VA/Dublin/LOT-8-Tanager-CV-24084/home/179811238,MLSRV,890277,N,Y,37.080775,-80.61631
MLS Listing,,Vacant Land,LOT 9 Tanager Cv,Dublin,VA,24084,275000,,,Dublin,,58806,,1,,42,Active,,,https://www.redfin.com/VA/Dublin/LOT-9-Tanager-CV-24084/home/179811267,MLSRV,890278,N,Y,37.08129,-80.615537
