SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),500-502 Pawnee St,Leavenworth,KS,66048,275000,4,3.0,Leavenworth Co. N.,,9000,1993,1,,,Active,,,https://www.redfin.com/KS/Leavenworth/500-Pawnee-St-66048/home/83433154,Heartland MLS,2415340,N,Y,39.326967,-94.917528
MLS Listing,,Single Family Residential,200 NW 180th St,Smithville,MO,64089,599999,3,3.0,,2516,87120,2022,1,238,,Active,,,https://www.redfin.com/MO/Smithville/200-NE-180th-St-64089/home/183394116,Heartland MLS,2415030,N,Y,39.419865,-94.5807119
MLS Listing,,Vacant Land,29200 Highway VV,Keytesville,MO,65261,55500,,,KEYTESVILLE,,2099592,,1,,,Active,,,https://www.redfin.com/MO/Keytesville/29200-Highway-VV-65261/home/183391388,CBORMLS,410982,N,Y,39.392855,-92.924321
MLS Listing,,Single Family Residential,8100 NE 109th Ln,Kansas City,MO,64157,380000,4,3.0,Brooke Ridge,2390,16988,2007,1,159,,Active,,,https://www.redfin.com/MO/Kansas-City/8100-NE-109th-Ln-64157/home/78266367,Heartland MLS,2415500,N,Y,39.2926077,-94.4847844
MLS Listing,,Single Family Residential,201 Petree Ave Unit N,Braymer,MO,64624,90000,2,1.0,,1074,5750,1927,1,84,,Active,,,https://www.redfin.com/MO/Braymer/201-Petree-Ave-64624/unit-N/home/93635557,Heartland MLS,2415437,N,Y,39.5877026,-93.7929854
MLS Listing,,Vacant Land,Lot 2188 Duck Cir,Gallatin,MO,64640,6000,,,Valkyrie Valley,,24829,,1,,71,Active,,,https://www.redfin.com/MO/Liberty-Township/Lot-2188-Duck-Cir-64640/home/183389847,Heartland MLS,2415511,N,Y,39.911876,-94.0722209
MLS Listing,,Single Family Residential,516 N Folger St,Carrollton,MO,64633,130000,3,1.5,,1224,10000,,1,106,,Active,,,https://www.redfin.com/MO/Carrollton/516-N-Folger-St-64633/home/86014424,Heartland MLS,2413667,N,Y,39.3645346,-93.497312
MLS Listing,,Single Family Residential,1017 N 8th St,Leavenworth,KS,66048,140000,2,1.0,,1102,6160,1930,1,127,,Active,,,https://www.redfin.com/KS/Leavenworth/1017-N-8th-St-66048/home/83433159,Heartland MLS,2415508,N,Y,39.3266411,-94.9247683
MLS Listing,,Multi-Family (2-4 Unit),2818-2820 Edmond St,St Joseph,MO,64501,179900,6,3.0,Brookdale Addition,3360,5600,1927,1,54,,Active,,,https://www.redfin.com/MO/St-Joseph/2818-Edmond-St-64501/home/77762385,Heartland MLS,2415504,N,Y,39.7657,-94.8230849
MLS Listing,,Vacant Land,621 Rees St,Leavenworth,KS,66048,7000,,,,,13068,,1,,,Active,,,https://www.redfin.com/KS/Leavenworth/621-Rees-St-66048/home/183386539,Heartland MLS,2415499,N,Y,39.2981919,-94.9167625
