SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4817 W 109th St #304,Oak Lawn,IL,60453,106000,2,1.0,Cloister,,,1978,1,,247,Active,,,https://www.redfin.com/IL/Oak-Lawn/4817-W-109th-St-60453/unit-304/home/183295921,MRED,11685961,N,Y,41.6941421,-87.7426491
MLS Listing,,Single Family Residential,301 Stone Fence Rd,Vernon Hills,IL,60061,550000,4,2.5,Stone Fence Farms,2481,13769,1989,1,222,25,Active,,,https://www.redfin.com/IL/Vernon-Hills/301-Stone-Fence-Rd-60061/home/17644540,MRED,11685933,N,Y,42.2208103,-87.9635347
MLS Listing,,Condo/Co-op,1550 N Oakley Blvd Unit 2-3,Chicago,IL,60622,740000,3,3.0,CHI - West Town,2400,,1892,1,308,435,Active,December-11-2022 12:00 PM,December-11-2022 02:00 PM,https://www.redfin.com/IL/Chicago/1550-N-Oakley-Blvd-60622/unit-2-3/home/105514858,MRED,11685876,N,Y,41.9101251,-87.6848997
MLS Listing,,Single Family Residential,1630 Victoria Ave,Berkeley,IL,60163,309000,3,2.0,Berkeley,1869,8367,1971,1,165,,Active,December-18-2022 11:00 AM,December-18-2022 01:00 PM,https://www.redfin.com/IL/Berkeley/1630-Victoria-Ave-60163/home/13333961,MRED,11685842,N,Y,41.884291,-87.917723
MLS Listing,,Condo/Co-op,1560 N Sandburg Ter Unit 2605J,Chicago,IL,60610,299900,1,1.0,CHI - Near North Side,,,1970,1,,500,Active,,,https://www.redfin.com/IL/Chicago/1560-N-Sandburg-Ter-60610/unit-2605J/home/14115526,MRED,11683705,N,Y,41.91056,-87.6327891
MLS Listing,,Single Family Residential,544 E Central Ave,Lombard,IL,60148,385000,4,3.0,Lombard,1615,7405,1976,1,238,,Active,,,https://www.redfin.com/IL/Lombard/544-E-Central-Ave-60148/home/18094199,MRED,11683063,N,Y,41.8647979,-88.0033017
MLS Listing,,Single Family Residential,15547 Dobson Ave,Dolton,IL,60419,199900,4,2.5,Dolton,1373,,1958,1,146,,Active,,,https://www.redfin.com/IL/Dolton/15547-Dobson-Ave-60419/home/12926875,MRED,11670110,N,Y,41.6119134,-87.5913825
MLS Listing,,Single Family Residential,18017 Ravisloe Ter,Country Club Hills,IL,60478,180000,3,1.5,Flossmoor Terrace,1150,5749,1975,1,157,,Active,,,https://www.redfin.com/IL/Country-Club-Hills/18017-Ravisloe-Ter-60478/home/12955628,MRED,11685573,N,Y,41.5619953,-87.7182695
MLS Listing,,Single Family Residential,5946 N 40th St,Milwaukee,WI,53209,125000,3,1.0,Milwaukee,1120,7840,1936,1,112,,Active,,,https://www.redfin.com/WI/Milwaukee/5946-N-40th-St-53209/home/57985070,METROMLS,1820098,N,Y,43.1257971,-87.9619081
MLS Listing,,Single Family Residential,13840 W Chicago Bloomington Trl,Homer Glen,IL,60491,429000,4,1.5,Homer Glen,2598,87120,1963,1,165,,Active,,,https://www.redfin.com/IL/Homer-Glen/13840-W-Chicago-Bloomington-Trl-60491/home/23318715,MRED,11677832,N,Y,41.5674956,-87.9539035
MLS Listing,,Townhouse,9445 Brockton Ln Unit D,Des Plaines,IL,60016,325000,3,2.5,Concord Park,1400,,1997,1,232,282,Active,,,https://www.redfin.com/IL/Des-Plaines/9445-Brockton-Ln-60016/unit-D/home/13681229,MRED,11685555,N,Y,42.0592453,-87.860013
MLS Listing,,Condo/Co-op,100 E 14th St #2301,Chicago,IL,60605,699000,3,2.0,CHI - Near South Side,1695,,2006,1,412,1060,Active,December-10-2022 11:00 AM,December-10-2022 01:00 PM,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-2301/home/39570245,MRED,11685193,N,Y,41.8645195,-87.6238055
MLS Listing,,Single Family Residential,6342 W Ohio Ave,Milwaukee,WI,53219,274900,3,2.0,Milwaukee,1792,8712,1953,1,153,,Active,,,https://www.redfin.com/WI/Milwaukee/6342-W-Ohio-Ave-53219/home/90241450,METROMLS,1820065,N,Y,42.9849832,-87.9918286
MLS Listing,,Single Family Residential,3N700 Broadview Ave,Addison,IL,60101,510000,4,4.5,Addison,2926,20237,2001,1,174,,Active,December-10-2022 01:00 PM,December-10-2022 03:00 PM,https://www.redfin.com/IL/Addison/3N700-Broadview-Ave-60101/home/17282662,MRED,11685183,N,Y,41.9320004,-88.0308442
MLS Listing,,Condo/Co-op,20 N Carpenter St Unit 3N,Chicago,IL,60607,849900,3,3.0,CHI - Near West Side,,,2011,1,,526,Active,December-10-2022 11:00 AM,December-10-2022 01:00 PM,https://www.redfin.com/IL/Chicago/20-N-Carpenter-St-60607/unit-3N/home/64225146,MRED,11684375,N,Y,41.8823616,-87.6534295
MLS Listing,,Single Family Residential,7730 W Rascher Ave,Chicago,IL,60656,349900,3,1.5,CHI - Norwood Park,1162,,1947,1,301,,Active,December-10-2022 11:00 AM,December-10-2022 01:00 PM,https://www.redfin.com/IL/Chicago/7730-W-Rascher-Ave-60656/home/13558761,MRED,11683240,N,Y,41.9789177,-87.8206056
MLS Listing,,Condo/Co-op,260 E Chestnut St #1411,Chicago,IL,60611,214900,1,1.0,CHI - Near North Side,,,1963,1,,535,Active,,,https://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-1411/home/14118457,MRED,11674577,N,Y,41.8986644,-87.6196021
MLS Listing,,Single Family Residential,9209 Sproat Ave,Oak Lawn,IL,60453,219000,2,2.0,Oak Lawn,816,,1951,1,268,,Active,December-10-2022 11:00 AM,December-10-2022 02:00 PM,https://www.redfin.com/IL/Oak-Lawn/9209-Sproat-Ave-60453/home/13179776,MRED,11683810,N,Y,41.725021,-87.746708
MLS Listing,,Single Family Residential,494 Spring Dr,Marengo,IL,60152,365000,4,2.5,Brayton Knolls,3202,21780,2007,1,114,8,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/IL/Marengo/494-Spring-Dr-60152/home/17778346,MRED,11681544,N,Y,42.233565,-88.6061317
MLS Listing,,Single Family Residential,8813 S Paulina St,Chicago,IL,60620,254900,5,3.0,CHI - Auburn Gresham,2400,3123,1959,1,106,,Active,,,https://www.redfin.com/IL/Chicago/8813-S-Paulina-St-60620/home/13102143,MRED,11684940,N,Y,41.7334888,-87.6651448
MLS Listing,,Townhouse,463 Windham Cove Dr,Crystal Lake,IL,60014,215000,2,2.5,Windham Cove,1683,,1998,1,128,271,Active,December-10-2022 02:00 PM,December-10-2022 04:00 PM,https://www.redfin.com/IL/Crystal-Lake/463-Windham-Cove-Dr-60014/home/17787070,MRED,11680612,N,Y,42.205635,-88.337754
MLS Listing,,Single Family Residential,707 Watson Dr,Genoa,IL,60135,199999,4,2.0,Genoa,1377,7082,1958,1,145,,Active,,,https://www.redfin.com/IL/Genoa/707-Watson-Dr-60135/home/14203651,MRED,11684846,N,Y,42.0944285,-88.6827298
MLS Listing,,Single Family Residential,556 Irving St,Joliet,IL,60432,189000,3,2.0,Joliet,1368,6534,2003,1,138,,Active,,,https://www.redfin.com/IL/Joliet/556-Irving-St-60432/home/23295404,MRED,11684817,N,Y,41.5343641,-88.0682601
MLS Listing,,Single Family Residential,14527 Woodpine Dr,Holland,MI,49424,609000,6,4.5,Timberline Acres,4814,20356,2001,1,127,4,Active,December-10-2022 11:00 AM,December-10-2022 01:00 PM,https://www.redfin.com/MI/Holland/14527-Woodpine-Dr-49424/home/96735548,SW Michigan MLS,22050209,N,Y,42.8206779,-86.141031
MLS Listing,,Single Family Residential,2030 W 83rd St,Chicago,IL,60620,245000,3,1.5,CHI - Auburn Gresham,1314,5850,1958,2,186,,Active,December-10-2022 12:00 PM,December-10-2022 02:00 PM,https://www.redfin.com/IL/Chicago/2030-W-83rd-St-60620/home/13908802,MRED,11681318,N,Y,41.7431658,-87.67429
MLS Listing,,Single Family Residential,15607 Gouwens Ln,South Holland,IL,60473,225000,3,1.5,South Holland,1317,6969,1960,2,171,,Active,,,https://www.redfin.com/IL/South-Holland/15607-Gouwens-Ln-60473/home/12925639,MRED,11679088,N,Y,41.6111746,-87.6007974
MLS Listing,,Single Family Residential,3010 Long Grove Ln,Aurora,IL,60504,289900,3,1.5,Aurora / Eola,1586,,1987,2,183,,Active,,,https://www.redfin.com/IL/Aurora/3010-Long-Grove-Ln-60504/home/18067716,MRED,11673449,N,Y,41.7415052,-88.2415356
MLS Listing,,Townhouse,902 Galway Ln #0,Pingree Grove,IL,60140,260000,3,3.0,Hampshire / Pingree Grove,1728,,2006,2,150,218,Active,December-11-2022 11:00 AM,December-11-2022 01:00 PM,https://www.redfin.com/IL/Pingree-Grove/902-Galway-Ln-60140/home/16917970,MRED,11682254,N,Y,42.0862903,-88.4309795
MLS Listing,,Single Family Residential,40 47th Ave,Bellwood,IL,60104,225000,4,1.5,Bellwood,1593,4408,1954,2,141,,Active,,,https://www.redfin.com/IL/Bellwood/40-47th-Ave-60104/home/13333649,MRED,11684345,N,Y,41.8911055,-87.8911209
MLS Listing,,Single Family Residential,5824 Prairie Ridge Rd,Crystal Lake,IL,60014,409900,4,3.0,Prairie Ridge,1884,3920,2005,2,218,350,Active,December-10-2022 01:00 PM,December-10-2022 03:00 PM,https://www.redfin.com/IL/Crystal-Lake/5824-Prairie-Ridge-Rd-60014/home/17826081,MRED,11677900,N,Y,42.2445606,-88.2812044
MLS Listing,,Single Family Residential,413 Indianwood Blvd,Park Forest,IL,60466,139900,2,1.0,Park Forest,1249,,1950,2,112,,Active,,,https://www.redfin.com/IL/Park-Forest/413-Indianwood-Blvd-60466/home/12853933,MRED,11684252,N,Y,41.4707929,-87.6934535
MLS Listing,,Condo/Co-op,1518 W Addison St Unit G,Chicago,IL,60613,240000,1,1.0,CHI - Lake View,,,1901,2,,162,Active,December-10-2022 12:00 PM,December-10-2022 02:00 PM,https://www.redfin.com/IL/Chicago/1518-W-Addison-St-60613/unit-G/home/12590325,MRED,11682966,N,Y,41.9471819,-87.6673273
MLS Listing,,Multi-Family (2-4 Unit),4205 W Cullerton St,Chicago,IL,60623,170000,6,2.0,CHI - North Lawndale,,,1910,2,,,Active,,,https://www.redfin.com/IL/Chicago/4205-W-Cullerton-St-60623/home/13235529,MRED,11684180,N,Y,41.8541572,-87.729998
MLS Listing,,Single Family Residential,8719 Lakeview Ave,Crystal Lake,IL,60014,324900,3,2.5,Crystal Woodlands,1962,,1996,2,166,,Active,December-11-2022 01:00 PM,December-11-2022 03:00 PM,https://www.redfin.com/IL/Crystal-Lake/8719-Lakeview-Dr-60014/home/17818402,MRED,11684177,N,Y,42.2242724,-88.3681512
MLS Listing,,Single Family Residential,10850 S Church St,Chicago,IL,60643,368500,4,2.0,CHI - Morgan Park,1600,7723,1923,3,230,,Active,December-10-2022 11:00 AM,December-10-2022 01:00 PM,https://www.redfin.com/IL/Chicago/10850-S-Church-St-60643/home/13071683,MRED,11679209,N,Y,41.6961038,-87.6625249
MLS Listing,,Townhouse,3078 Triumph Dr #1,Sun Prairie,WI,53590,289000,3,2.5,Sun Prairie,1928,,2016,3,150,175,Active,December-11-2022 11:00 AM,December-11-2022 01:00 PM,https://www.redfin.com/WI/Sun-Prairie/3078-Triumph-Dr-53590/unit-1/home/164078271,SCWMLS,1947600,N,Y,43.1681815,-89.2781711
MLS Listing,,Single Family Residential,1150 Harwich Dr,Carol Stream,IL,60188,320000,3,1.5,Spinnaker Cove,1356,8646,1990,3,236,,Active,,,https://www.redfin.com/IL/Carol-Stream/1150-Harwich-Dr-60188/home/18206040,MRED,11683568,N,Y,41.9405621,-88.1609849
MLS Listing,,Condo/Co-op,10 N Gilbert St #101,South Elgin,IL,60177,199900,2,2.0,River Crossing,1412,,2009,4,142,163,Active,,,https://www.redfin.com/IL/South-Elgin/10-N-Gilbert-St-60177/unit-101/home/177857797,MRED,11683133,N,Y,41.9947579,-88.2906414
MLS Listing,,Condo/Co-op,100 E 14th St #1302,Chicago,IL,60605,515000,2,2.0,CHI - Near South Side,1500,,2006,4,343,711,Active,,,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-1302/home/39570441,MRED,11683081,N,Y,41.8645195,-87.6238055
