SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4211 N Park Dr,Tucker,GA,30084,585000,4,3.0,,2508,17424,2006,1,233,,Active,,,https://www.redfin.com/GA/Tucker/4211-N-Park-Dr-30084/home/23868283,FMLS,7154248,N,Y,33.8635762,-84.2165581
MLS Listing,,Condo/Co-op,2700 Pine Tree Rd NE #1107,Atlanta,GA,30324,218000,1,1.0,Carrington Park,784,784,2000,1,278,240,Active,,,https://www.redfin.com/GA/Atlanta/2700-Pine-Tree-Rd-NE-30324/unit-1107/home/24738141,FMLS,7154252,N,Y,33.828146,-84.3583353
MLS Listing,,Single Family Residential,87 Mayson Ave NE,Atlanta,GA,30307,850000,4,3.5,N/A,4356,4356,2018,4,195,,Active,,,https://www.redfin.com/GA/Atlanta/87-Mayson-Ave-NE-30307/home/23888514,FMLS,7152984,N,Y,33.7559801,-84.3384495
MLS Listing,,Condo/Co-op,2774 Farmstead Rd SE,Smyrna,GA,30080,290000,3,2.5,Farmstead at Vinings,1364,3393,1974,5,213,246,Active,December-17-2022 12:00 PM,December-17-2022 02:00 PM,https://www.redfin.com/GA/SMYRNA/2774-FARMSTEAD-RD-SE-30080/home/25353907,FMLS,7152180,N,Y,33.885247,-84.485521
MLS Listing,,Single Family Residential,50 Allie Dr,Mcdonough,GA,30252,345000,3,2.5,Lake Dow Estates,2716,4791,1980,5,127,,Active,,,https://www.redfin.com/GA/McDonough/50-Allie-Dr-30252/home/24101629,FMLS,7152969,N,Y,33.4472002,-84.0852575
MLS Listing,,Single Family Residential,655 S Grand Ave NW,Atlanta,GA,30318,305000,3,2.0,,1163,7501,1920,8,262,,Active,December-17-2022 01:00 PM,December-17-2022 03:00 PM,https://www.redfin.com/GA/Atlanta/655-S-Grand-Ave-NW-30318/home/24556358,FMLS,7151912,N,Y,33.7727852,-84.4625706
MLS Listing,,Single Family Residential,3125 Juhan Rd,Stone Mountain,GA,30087,3500000,8,8.0,N/A,15906,95396,2009,8,220,,Active,,,https://www.redfin.com/GA/Stone-Mountain/3125-Juhan-Rd-SW-30087/home/24951787,FMLS,7151901,N,Y,33.8007812,-84.0783042
MLS Listing,,Townhouse,4063 Townsend Ln,Dunwoody,GA,30346,620000,4,3.5,Townsend At Perimeter,2407,1742,2019,8,258,175,Active,,,https://www.redfin.com/GA/DUNWOODY/4063-TOWNSEND-LN-30346/home/160963720,FMLS,7151859,N,Y,33.923823,-84.329233
MLS Listing,,Multi-Family (2-4 Unit),1216 E Ashley Ave,Folly Beach,SC,29439,1050000,4,2.0,Folly Beach,,10454,1964,9,,,Active,,,https://www.redfin.com/SC/Folly-Beach/1216-E-Ashley-Ave-29439/home/68568835,Charleston Trident MLS,22030272,N,Y,32.6666004,-79.9149631
MLS Listing,,Single Family Residential,168 Dahlia Ave NW,Atlanta,GA,30314,185000,2,1.0,Dixie Hills,879,5662,1940,9,210,,Active,,,https://www.redfin.com/GA/Atlanta/168-Dahlia-Ave-NW-30314/home/24832828,FMLS,7151435,N,Y,33.7588223,-84.4624376
MLS Listing,,Single Family Residential,4836 Autumn Cir,Stone Mountain,GA,30088,297000,3,3.0,Hairston Hill,1844,8712,1988,12,161,,Active,,,https://www.redfin.com/GA/Stone-Mountain/4836-Autumn-Cir-30088/home/23734673,FMLS,7150367,N,Y,33.771542,-84.1919521
MLS Listing,,Condo/Co-op,6407 Deerings Ln,Peachtree Corners,GA,30092,345000,3,2.5,The Deerings,2150,435,1980,15,160,375,Active,,,https://www.redfin.com/GA/Norcross/6407-Deerings-Ln-30092/home/24895089,FMLS,7149215,N,Y,33.9646779,-84.2562666
MLS Listing,,Single Family Residential,100 Yarbrough Landing Rd,Bloomingdale,GA,31302,349900,2,2.0,Bloomingdale,1790,11461,2001,15,195,,Active,,,https://www.redfin.com/GA/BLOOMINGDALE/100-YARBROUGH-LANDING-RD-31302/home/130012000,SMLC,280823,N,Y,32.191337,-81.414982
MLS Listing,,Single Family Residential,1835 Newberry Ct,Riverdale,GA,30296,280000,3,3.5,,1890,11273,1969,15,148,,Active,,,https://www.redfin.com/GA/Riverdale/1835-Newberry-Ct-30296/home/25200781,FMLS,7149227,N,Y,33.5862058,-84.4496538
MLS Listing,,Townhouse,1097 New Haven Dr SW,Marietta,GA,30064,235000,3,2.5,Whitlock West,1642,548,1973,16,143,280,Active,,,https://www.redfin.com/GA/Marietta/1097-New-Haven-Dr-SW-30064/home/25447967,FMLS,7148618,N,Y,33.9525708,-84.5839643
MLS Listing,,Single Family Residential,3008 Evening Tide Dr,Hanahan,SC,29410,749900,3,2.5,Bowen,2203,5227,2020,16,340,73,Active,,,https://www.redfin.com/SC/Hanahan/3008-Evening-Tide-Dr-29410/home/169218418,Charleston Trident MLS,22029768,N,Y,32.9289244,-80.0045593
MLS Listing,,Single Family Residential,5140 Tilly Mill Rd,Dunwoody,GA,30338,360000,3,2.0,N/A,,21780,1956,17,,,Active,,,https://www.redfin.com/GA/Dunwoody/5140-Tilly-Mill-Rd-30338/home/23784792,FMLS,7148530,N,Y,33.9414174,-84.2992379
MLS Listing,,Single Family Residential,2436 Scarlet Ln SE,Conyers,GA,30013,355000,4,2.0,Stoney Brook,2293,18295,1993,24,155,33,Active,,,https://www.redfin.com/GA/Conyers/2436-Scarlet-Ln-SE-30013/home/25244625,FMLS,7147173,N,Y,33.5915562,-84.0069304
MLS Listing,,Single Family Residential,4418 Ventura Dr,North Charleston,SC,29405,349000,3,2.0,Wando Woods,1148,9583,1964,24,304,,Active,,,https://www.redfin.com/SC/North-Charleston/4418-Ventura-Dr-29405/home/87083784,Charleston Trident MLS,22029412,N,Y,32.8463738,-80.0287127
MLS Listing,,Single Family Residential,5292 Copley Cir,Summerville,SC,29485,299000,3,2.0,Wescott Plantation,1136,8276,2004,24,263,20,Active,December-17-2022 10:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/SC/Summerville/5292-Copley-Cir-29485/home/68729922,Charleston Trident MLS,22029407,N,Y,32.9516329,-80.1525617
MLS Listing,,Single Family Residential,56 Holly Rd NW,Atlanta,GA,30314,330000,4,2.0,West Lake,2010,5000,2006,25,164,,Active,,,https://www.redfin.com/GA/Atlanta/56-Holly-Rd-NW-30314/home/24857831,FMLS,7146235,N,Y,33.756535,-84.4381388
MLS Listing,,Single Family Residential,2089 Claude St NW,Atlanta,GA,30318,460000,3,2.0,Riverside,1482,10136,1960,26,310,,Active,,,https://www.redfin.com/GA/Atlanta/2089-Claude-St-NW-30318/home/24562174,FMLS,7144624,N,Y,33.8125632,-84.4658533
MLS Listing,,Single Family Residential,3542 Denby Dr,Snellville,GA,30039,272000,3,2.0,Centerville North,1744,30491,1979,29,156,,Active,,,https://www.redfin.com/GA/Snellville/3542-Denby-Dr-SW-30039/home/24982487,FMLS,7145463,N,Y,33.8129925,-84.0326239
MLS Listing,,Single Family Residential,6845 Fielder Ct,Rex,GA,30273,255000,3,2.0,N/A,1561,11491,1986,29,163,,Active,,,https://www.redfin.com/GA/Rex/6845-Fielder-Ct-30273/home/25178542,FMLS,7111134,N,Y,33.5677534,-84.2938515
MLS Listing,,Single Family Residential,3355 Sir Lancelot Pl SW,Marietta,GA,30008,312500,3,2.5,N/A,1920,8899,1980,30,163,,Active,,,https://www.redfin.com/GA/Marietta/3355-Sir-Lancelot-Pl-SW-30008/home/25324840,FMLS,7144570,N,Y,33.8705784,-84.6009116
MLS Listing,,Single Family Residential,2600 Northside Dr NW,Atlanta,GA,30305,1175000,5,3.5,N/A,4117,35152,1983,31,285,,Active,,,https://www.redfin.com/GA/Atlanta/2600-Northside-Dr-NW-30305/home/24686454,FMLS,7143594,N,Y,33.8263208,-84.4079512
MLS Listing,,Single Family Residential,4469 S Springwood Dr SW,Smyrna,GA,30082,352400,3,2.0,N/A,1954,16740,1985,32,180,,Active,,,https://www.redfin.com/GA/Smyrna/4469-S-Springwood-Dr-SW-30082/home/25338682,FMLS,7143473,N,Y,33.8480934,-84.5739082
MLS Listing,,Single Family Residential,1745 Harts Run,Atlanta,GA,30341,708000,4,3.5,Harts Place,2950,8712,1990,38,240,25,Active,,,https://www.redfin.com/GA/Chamblee/1745-Harts-Run-30341/home/23697237,FMLS,7138897,N,Y,33.9013118,-84.3166685
MLS Listing,,Single Family Residential,9832 Hurston Way,Jonesboro,GA,30238,433000,5,3.0,The Lake at Mundy's Mill,3117,7056,2013,42,139,27,Active,,,https://www.redfin.com/GA/Jonesboro/9832-Hurston-Way-30238/home/25173723,FMLS,7124367,N,Y,33.487626,-84.3560534
MLS Listing,,Single Family Residential,1796 Briarlake Cir,Decatur,GA,30033,415000,3,2.5,Briarlake,1866,13068,1953,43,222,,Active,,,https://www.redfin.com/GA/Decatur/1796-Briarlake-Cir-30033/home/23780316,FMLS,7139644,N,Y,33.835799,-84.2662538
MLS Listing,,Townhouse,102 Riversgate Dr,Atlanta,GA,30339,625000,3,3.5,One River Place,2828,1415,2008,43,221,51,Active,,,https://www.redfin.com/GA/Atlanta/102-Riversgate-Dr-30339/home/180163905,FMLS,7139061,N,Y,33.9024051,-84.4383204
MLS Listing,,Single Family Residential,764 Alberta Dr,Mcdonough,GA,30252,730000,5,3.5,Stanley Park,4129,747925,2006,44,177,,Active,,,https://www.redfin.com/GA/McDonough/764-Alberta-Dr-30252/home/24111396,FMLS,7139714,N,Y,33.543512,-84.06584
MLS Listing,,Single Family Residential,9412 Harroway Rd,Summerville,SC,29485,425000,4,2.5,Wescott Plantation,2620,10890,2004,44,162,33,Active,,,https://www.redfin.com/SC/Summerville/9412-Harroway-Rd-29485/home/68666172,Charleston Trident MLS,22027423,N,Y,32.9422689,-80.1273411
MLS Listing,,Single Family Residential,509 Roy St SW,Atlanta,GA,30310,305000,3,2.0,Pittsburg,1107,3998,1920,47,276,,Active,,,https://www.redfin.com/GA/Atlanta/509-Roy-St-SW-30310/home/24846527,FMLS,7126687,N,Y,33.7243541,-84.4041753
MLS Listing,,Single Family Residential,2390 Haliard Way,Lithonia,GA,30058,410000,4,4.0,Mason's Mill Estates,2836,2657,2021,50,145,50,Active,,,https://www.redfin.com/GA/Lithonia/2390-Haliard-Way-30058/home/173843625,FMLS,7137223,N,Y,33.7186119,-84.0685436
