Zipcode,Median Income ,Old Median Income,Growth,Population_size,Population_age,Num_White_People,Immigrant_pop,Num_Black_People,Percentage_Black,2012_pop_size,Pop_Growth
ZCTA5 37178,835,2720,-1885,1986,47.8,1913,0,6,0.003021148,6538,-4552
ZCTA5 37179,5088,8161,-3073,16192,37.1,14760,78,139,0.008584486,20373,-4181
ZCTA5 37180,1454,677,777,4295,40.8,4194,0,61,0.014202561,1577,2718
ZCTA5 37181,678,2220,-1542,1679,53.1,1578,0,1,0.000595593,5031,-3352
ZCTA5 37183,1311,1830,-519,3146,51.3,2903,62,105,0.033375715,4973,-1827
ZCTA5 37184,2638,3442,-804,6943,42.7,6243,118,301,0.043353017,8742,-1799
ZCTA5 37185,3392,683,2709,8846,46.2,7972,141,196,0.022156907,1661,7185
ZCTA5 37186,3651,1749,1902,10718,37.4,10174,11,51,0.00475835,4508,6210
ZCTA5 37187,2962,5338,-2376,7746,38.6,7208,0,60,0.007745933,13650,-5904
ZCTA5 37188,6288,11470,-5182,16351,36.9,14611,174,411,0.025136077,29337,-12986
ZCTA5 37189,1655,3010,-1355,4412,42,2141,6,2193,0.49705349,8022,-3610
ZCTA5 37190,3416,206,3210,8702,38.3,8342,0,163,0.018731326,587,8115
ZCTA5 37191,1525,4267,-2742,4255,43.3,3765,32,134,0.031492362,10654,-6399
ZCTA5 37201,857,1772,-915,1477,36.8,1103,106,155,0.104942451,4053,-2576
ZCTA5 37203,10819,910,9909,18100,31.5,11059,1429,4581,0.253093923,2316,15784
ZCTA5 37204,6632,1337,5295,17047,29.2,13786,514,2038,0.119551827,3043,14004
ZCTA5 37205,11588,2062,9526,25437,48.1,22763,391,1419,0.05578488,4819,20618
ZCTA5 37206,12176,1707,10469,28694,33.2,17999,328,8624,0.300550638,4558,24136
ZCTA5 37207,15745,1850,13895,40697,35.2,11533,401,24760,0.608398653,7517,33180
ZCTA5 37208,8114,1054,7060,19546,30.4,6504,200,12050,0.616494423,2657,16889
ZCTA5 37209,17410,2640,14770,37363,31.9,25406,1904,7460,0.199662768,6825,30538
ZCTA5 37210,7154,1301,5853,16593,30.6,8753,906,5535,0.333574399,3051,13542
ZCTA5 37211,29394,818,28576,75073,33,47639,4477,12853,0.171206692,1987,73086
ZCTA5 37212,6896,1132,5764,20917,25.4,15682,1815,2518,0.120380552,1752,19165
ZCTA5 37213,24,6741,-6717,45,39.1,13,11,12,0.266666667,15924,-15879
ZCTA5 37214,14203,10496,3707,31341,37.8,21609,980,6603,0.210682493,19178,12163
ZCTA5 37215,10345,8584,1761,22829,44.5,19800,1355,367,0.016076044,20307,2522
ZCTA5 37216,8572,3198,5374,19227,34.7,13434,764,4072,0.21178551,5982,13245
ZCTA5 37217,12416,3118,9298,31096,34.1,17185,319,10821,0.347986879,12647,18449
ZCTA5 37218,5877,12747,-6870,15056,41.3,3243,126,10615,0.705034538,24466,-9410
ZCTA5 37219,991,17802,-16811,1411,31.1,1342,35,0,0,43240,-41829
ZCTA5 37220,2456,12948,-10492,6481,41.6,6147,26,183,0.028236383,28927,-22446
ZCTA5 37221,18388,17070,1318,42232,40.3,35124,1440,3314,0.078471301,37359,4873
ZCTA5 37228,1249,12484,-11235,1650,29.6,691,26,714,0.432727273,27838,-26188
ZCTA5 37232,0,11912,-11912,0,-,0,0,0,#DIV/0!,33871,-33871
ZCTA5 37238,0,12228,-12228,0,-,0,0,0,#DIV/0!,27731,-27731
ZCTA5 37301,376,4922,-4546,976,40.6,870,3,11,0.011270492,10597,-9621
ZCTA5 37302,1885,10147,-8262,5070,44.9,4363,225,175,0.034516765,25646,-20576
ZCTA5 37303,9900,5207,4693,24621,41.2,21969,176,1281,0.052028756,14272,10349
ZCTA5 37305,385,8780,-8395,1037,45.7,677,0,0,0,24597,-23560
ZCTA5 37306,892,6610,-5718,2227,49.9,1919,15,172,0.077233947,18005,-15778
ZCTA5 37307,1882,1701,181,5065,44.6,4554,2,60,0.011846002,4214,851
ZCTA5 37308,1010,12548,-11538,2431,46.2,2338,0,28,0.011517894,37458,-35027
ZCTA5 37309,853,3502,-2649,2201,46.6,2164,4,2,0.000908678,10125,-7924
ZCTA5 37310,1430,1970,-540,3338,46.5,3141,0,131,0.039245057,5786,-2448
ZCTA5 37311,11117,26,11091,30148,33.5,24577,190,2886,0.095727743,94,30054
ZCTA5 37312,13706,3254,10452,36102,40.6,31066,1031,1728,0.047864384,9121,26981
ZCTA5 37313,522,3244,-2722,1222,53.8,1189,0,0,0,9239,-8017
ZCTA5 37315,0,5642,-5642,1761,19.9,1092,235,161,0.091425327,14308,-12547
ZCTA5 37316,0,1034,-1034,0,-,0,0,0,#DIV/0!,2963,-2963
ZCTA5 37317,1217,17040,-15823,2729,47.9,2539,2,9,0.003297911,43137,-40408
ZCTA5 37318,714,15612,-14898,1836,36.8,1593,1,144,0.078431373,47262,-45426
