Zipcode,Median Income ,Old Median Income,Growth,Population_size,Population_age,Num_White_People,Immigrant_pop,Num_Black_People,Percentage_Black,2012_pop_size,Pop_Growth
ZCTA5 02478,10372,3439,6933,27016,41.5,20291,4919,278,0.010290198,9055,17961
ZCTA5 02481,4743,4863,-120,16997,33.2,13316,2093,573,0.033711831,11592,5405
ZCTA5 02482,3907,444,3463,10520,46.2,8134,1411,151,0.014353612,982,9538
ZCTA5 02492,7160,449,6711,20927,43.4,18116,1599,489,0.023366942,1240,19687
ZCTA5 02493,3731,8265,-4534,11806,45.6,9117,1672,374,0.031678807,19524,-7718
ZCTA5 02494,4100,2371,1729,10881,43.2,8402,1371,236,0.021689183,6256,4625
ZCTA5 02532,5688,1196,4492,12715,54.9,11278,488,136,0.010696028,3162,9553
ZCTA5 02534,379,1408,-1029,1127,52.3,1098,0,11,0.009760426,4086,-2959
ZCTA5 02535,742,4125,-3383,2151,53.2,1787,107,33,0.015341702,8521,-6370
ZCTA5 02536,8373,389,7984,20261,53.7,18019,293,269,0.013276739,1284,18977
ZCTA5 02537,2488,348,2140,7124,43.9,6468,279,288,0.040426727,684,6440
ZCTA5 02538,1748,142,1606,4663,39.3,4077,44,0,0,314,4349
ZCTA5 02539,1401,3807,-2406,5084,50.2,4186,24,335,0.065892998,9847,-4763
ZCTA5 02540,4171,1404,2767,8888,59.4,8026,185,121,0.013613861,2890,5998
ZCTA5 02542,244,1644,-1400,847,25.1,727,0,36,0.042502952,4513,-3666
ZCTA5 02543,485,815,-330,924,68.4,905,0,0,0,1791,-867
ZCTA5 02553,30,1755,-1725,30,-,30,0,0,0,3941,-3911
ZCTA5 02554,3973,204,3769,13585,41.8,10286,228,1818,0.133824071,471,13114
ZCTA5 02556,1018,1286,-268,2457,49.4,2365,32,37,0.015059015,3232,-775
ZCTA5 02557,685,3829,-3144,1762,47,1485,0,236,0.133938706,9746,-7984
ZCTA5 02558,993,135,858,1779,58.5,1282,0,119,0.066891512,347,1432
ZCTA5 02559,1593,1209,384,3307,60,3275,13,12,0.003628666,3967,-660
ZCTA5 02561,280,4653,-4373,1025,35.1,490,27,82,0.08,11255,-10230
ZCTA5 02562,1236,1000,236,3204,41.3,3022,152,0,0,2606,598
ZCTA5 02563,3983,1465,2518,9514,55.1,8853,234,15,0.001576624,3898,5616
ZCTA5 02564,33,0,33,180,37.5,137,1,42,0.233333333,0,180
ZCTA5 02568,3044,6080,-3036,8810,45.5,7380,6,325,0.036889898,13402,-4592
ZCTA5 02571,4824,983,3841,10738,54,8978,95,263,0.024492457,2129,8609
ZCTA5 02575,907,4193,-3286,2432,53.1,2016,51,0,0,9721,-7289
ZCTA5 02576,1767,5028,-3261,3985,53,3410,8,143,0.035884567,11466,-7481
ZCTA5 02584,25,1884,-1859,30,52.8,30,0,0,0,4057,-4027
ZCTA5 02601,6794,1522,5272,17175,39.3,11813,178,1998,0.116331878,3366,13809
ZCTA5 02630,744,44,700,1953,48.7,1857,40,4,0.002048131,82,1871
ZCTA5 02631,4519,1667,2852,10109,56.1,9679,60,17,0.00168167,3562,6547
ZCTA5 02632,4744,1363,3381,12038,48.8,10467,100,253,0.02101678,3240,8798
ZCTA5 02633,2269,240,2029,4649,64.5,4394,135,64,0.013766401,501,4148
ZCTA5 02635,1376,2305,-929,2902,57.3,2648,26,183,0.063059959,4963,-2061
ZCTA5 02637,129,17,112,292,69.2,292,0,0,0,17,275
ZCTA5 02638,1447,1286,161,3180,60.3,2919,34,36,0.011320755,4389,-1209
ZCTA5 02639,1712,4087,-2375,3439,50.6,2573,11,269,0.078220413,9417,-5978
ZCTA5 02641,91,919,-828,178,75.2,178,0,0,0,1878,-1700
ZCTA5 02642,2525,54,2471,5674,59,5105,164,161,0.028375044,123,5551
ZCTA5 02643,0,3014,-3014,0,-,0,0,0,#DIV/0!,7206,-7206
ZCTA5 02644,1447,5737,-4290,3713,51.4,3621,19,0,0,13950,-10237
ZCTA5 02645,4474,534,3940,10845,56,10252,16,188,0.017335178,1183,9662
ZCTA5 02646,896,10,886,1801,64.6,1717,5,22,0.012215436,20,1781
ZCTA5 02647,67,512,-445,166,46.6,166,0,0,0,1125,-959
ZCTA5 02648,3064,2813,251,7283,51.8,6968,31,199,0.027323905,5950,1333
ZCTA5 02649,6603,1699,4904,14996,51.9,12793,370,442,0.029474527,3846,11150
ZCTA5 02650,340,1687,-1347,764,66.6,759,0,5,0.006544503,2974,-2210
ZCTA5 02652,618,374,244,990,60.4,990,0,0,0,741,249
ZCTA5 02653,2989,2699,290,6276,64.7,6142,61,13,0.002071383,5881,395
ZCTA5 02655,1527,64,1463,3341,56.9,2934,38,63,0.01885663,96,3245
ZCTA5 02657,1968,4634,-2666,3582,56.2,3113,91,17,0.004745952,9562,-5980
ZCTA5 02659,555,259,296,1141,52.8,1115,0,26,0.022787029,528,613
ZCTA5 02660,2896,1671,1225,6480,57.8,6150,60,98,0.015123457,3002,3478
ZCTA5 02663,178,1307,-1129,398,60.2,398,0,0,0,3178,-2780
ZCTA5 02664,3989,87,3902,9010,58.7,7907,467,111,0.012319645,183,8827
ZCTA5 02666,295,598,-303,585,56.1,584,0,0,0,1087,-502
ZCTA5 02667,1558,542,1016,3907,54.1,3316,41,30,0.007678526,1011,2896
ZCTA5 02668,1004,49,955,2604,40.9,2492,0,61,0.023425499,91,2513
ZCTA5 02670,829,4045,-3216,1373,61.9,1332,0,12,0.008739985,8384,-7011
ZCTA5 02671,463,2996,-2533,870,66.5,823,17,14,0.016091954,6155,-5285
ZCTA5 02672,88,1459,-1371,153,83.2,153,0,0,0,4268,-4115
ZCTA5 02673,3839,16354,-12515,9351,46.1,6969,102,1355,0.144904288,43603,-34252
ZCTA5 02675,3087,44,3043,7178,57.8,6991,83,6,0.000835887,139,7039
ZCTA5 02702,1673,1026,647,4383,42.6,4309,11,1,0.000228154,3057,1326
ZCTA5 02703,17898,1586,16312,46126,39.7,39608,1238,1687,0.036573733,4599,41527
ZCTA5 02713,18,2452,-2434,34,61.7,34,0,0,0,6854,-6820
