SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,110 Canterbury Dr,Eufaula,AL,36027,239500,2,2.0,Country Club of Alabama,2102,21344,2005,6,114,,Active,,,https://www.redfin.com/AL/Eufaula/110-Canterbury-Dr-36027/home/116876647,SAMLS,188666,N,Y,31.8209953,-85.1602708
MLS Listing,,Single Family Residential,158 Memory Ln,Eufaula,AL,36027,285900,3,2.0,Reflections on the Water,1820,,2022,6,157,,Active,,,https://www.redfin.com/AL/Bakerhill/158-Memory-LN-36027/home/183011072,SAMLS,188662,N,Y,31.827063,-85.161967
MLS Listing,,Vacant Land,00 Jenny Lynn Ln,Georgetown,GA,39854,18900,,,,,43560,,8,,,Active,,,https://www.redfin.com/GA/GEORGETOWN/JENNY-LYNN-LN-39854/home/124994580,GAMLS,20088199,N,Y,31.74731,-85.096552
MLS Listing,,Vacant Land,00 Jenny Lynn Ln,Georgetown,GA,39854,38900,,,,,87120,,8,,,Active,,,https://www.redfin.com/GA/GEORGETOWN/JENNY-LYNN-LN-39854/home/124987792,GAMLS,20088197,N,Y,31.747965,-85.098257
MLS Listing,,Single Family Residential,141 Mount Zion Church Rd,Georgetown,GA,39854,298500,4,2.0,Unincorporated,2560,1090742,1990,8,117,,Active,,,https://www.redfin.com/GA/Georgetown/141-Mt-Zion-Church-Rd-39854/home/124990303,FMLS,7146307,N,Y,31.7591678,-85.0442565
MLS Listing,,Single Family Residential,951 Fox Ridge Rd,Eufaula,AL,36027,275000,3,2.0,na,2184,60548,1979,8,126,,Active,,,https://www.redfin.com/AL/Eufaula/951-Fox-Ridge-Rd-36027/home/116872305,SAMLS,188649,N,Y,31.9030191,-85.1845668
MLS Listing,,Vacant Land,0 Old Clayton Rd,Eufaula,AL,36027,380000,,,,,2221560,,12,,,Active,,,https://www.redfin.com/AL/Eufaula/Old-Clayton-Rd-36027/home/182891277,SAMLS,188626,N,Y,31.8674945,-85.2065635
MLS Listing,,Vacant Land,Lot 14 Calhoun Dr,Abbeville,AL,36310,16750,,,JW Calhoun,,21780,,21,,,Active,,,https://www.redfin.com/AL/Abbeville/14-Calhoun-Dr-36310/home/182718593,SAMLS,188549,N,Y,31.7623382,-85.1438976
MLS Listing,,Vacant Land,0 Calhoun Dr Lot 14,Abbeville,AL,36310,16750,,,JW Calhoun,,21780,,21,,,Active,,,https://www.redfin.com/AL/Unknown/Calhoun-Dr-36310/unit-14/home/182717098,GAMLS,20085386,N,Y,31.77058,-85.152122
MLS Listing,,Vacant Land,0 Chewalla Cir,Eufaula,AL,36027,15000,,,Chewalla Heights,,,,24,,,Active,,,https://www.redfin.com/AL/Eufaula/Chewalla-Cir-36027/home/180237645,SAMLS,174793,N,Y,31.910856,-85.143982
MLS Listing,,Single Family Residential,824 U. S. Hwy. 82,Georgetown,GA,39854,138600,3,2.5,,3291,74487,1890,25,42,,Active,,,https://www.redfin.com/GA/Georgetown/824-US-82-39854/home/141654018,SAMLS,188518,N,Y,31.8844802,-85.1048561
MLS Listing,,Single Family Residential,744 Laurel Dr,Abbeville,AL,36310,99750,3,2.0,Sunset,768,,1970,28,130,,Active,,,https://www.redfin.com/AL/Abbeville/744-Laurel-Dr-36310/home/120607348,GAMLS,20083752,N,Y,31.7604952,-85.1629033
MLS Listing,,Single Family Residential,263 Waters St,Abbeville,AL,36310,390000,3,2.0,na,1630,20908,1987,29,239,,Active,,,https://www.redfin.com/AL/Abbeville/263-Waters-St-36310/home/120616744,SAMLS,188473,N,Y,31.6965622,-85.1298046
MLS Listing,,Single Family Residential,563 Inlet Rd,Eufaula,AL,36027,226900,3,2.0,Hunters Inlet,1863,24829,1989,31,122,,Active,,,https://www.redfin.com/AL/Eufaula/563-Inlet-Rd-36027/home/116821929,EABOR,92952,N,Y,31.8762518,-85.1373012
