SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1613 Piney Church Rd,Concord,NC,28025,310000,3,2.0,St Andrews,1372,11761,2005,1,226,14,Active,,,https://www.redfin.com/NC/Concord/1613-Piney-Church-Rd-28025/home/43673071,CANOPYMLS,3929061,N,Y,35.3420268,-80.5613573
MLS Listing,,Single Family Residential,4027 John Dale Ln,Charlotte,NC,28269,410000,5,3.0,Brooke Dale,2432,6969,2018,1,169,41,Active,,,https://www.redfin.com/NC/Charlotte/4027-John-Dale-Ln-28269/home/148124815,CANOPYMLS,3928827,N,Y,35.2996305,-80.8177305
MLS Listing,,Condo/Co-op,4719 S Ocean Blvd #704,North Myrtle Beach,SC,29582,470000,3,2.0,SEA WINDS,1036,,1985,1,454,1180,Active,,,https://www.redfin.com/SC/North-Myrtle-Beach/4719-S-Ocean-Blvd-29582/unit-704/home/170784102,CCAR,2226686,N,Y,33.7911276,-78.7337381
MLS Listing,,Single Family Residential,543 Lowrider Dr,Richburg,SC,29729,400000,2,1.0,Murdock Farms,923,209523,2015,2,433,,Active,January-7-2023 01:00 PM,January-7-2023 04:00 PM,https://www.redfin.com/SC/Richburg/543-Lowrider-Dr-29729/home/52191711,CANOPYMLS,3928508,N,Y,34.7031678,-81.0337796
MLS Listing,,Single Family Residential,6903 Quarter Horse Dr,Trinity,NC,27370,360000,4,2.5,Steeplegate Village,,,2020,2,,45,Active,,,https://www.redfin.com/NC/Trinity/6903-Quarter-Horse-Dr-27370/home/173352571,Triad MLS,1092190,N,Y,35.8606648,-80.0358962
MLS Listing,,Single Family Residential,120 Windrift Ln,Mooresville,NC,28117,1149000,3,2.0,Mooresville,1976,44431,1963,2,581,,Active,,,https://www.redfin.com/NC/Mooresville/120-Windrift-Ln-28117/home/44305400,CANOPYMLS,3929050,N,Y,35.5655564,-80.8731703
MLS Listing,,Condo/Co-op,9550 Shore Dr #730,Myrtle Beach,SC,29572,179900,1,1.0,SANDS OCEAN,401,,1985,2,449,388,Active,,,https://www.redfin.com/SC/Myrtle-Beach/9550-Shore-Dr-29572/unit-730/home/148225519,CCAR,2226632,N,Y,33.7600682,-78.7896093
MLS Listing,,Single Family Residential,12009 Joseph Dr,Raleigh,NC,27614,830000,5,4.0,River Run,3883,16988,2005,3,214,350,Active,December-17-2022 01:00 PM,December-17-2022 04:00 PM,https://www.redfin.com/NC/Raleigh/12009-Joseph-Dr-27614/home/41294357,TMLS,2487194,N,Y,35.933644,-78.5771968
MLS Listing,,Single Family Residential,4 Mountain Side Way,Greenville,SC,29609,362500,3,2.5,Mountain Trace,1800,11325,,3,201,,Active,December-18-2022 02:00 PM,December-18-2022 04:00 PM,https://www.redfin.com/SC/Greenville/4-Mountain-Side-Way-29609/home/60703277,Greater Greenville MLS,1488148,N,Y,34.904272,-82.3940212
MLS Listing,,Vacant Land,260 Audubon Acres Dr,Easley,SC,29642,76500,,,Audubon Acres,,31363,,3,,,Active,,,https://www.redfin.com/SC/Easley/260-Audubon-Acres-Dr-29642/home/60782068,Greater Greenville MLS,1488145,N,Y,34.812232,-82.55382
MLS Listing,,Single Family Residential,120 Gray Bass Ct,Zebulon,NC,27597,385000,3,2.0,Franklin Ridge,1609,41382,2008,4,239,,Active,,,https://www.redfin.com/NC/Zebulon/120-Gray-Bass-Ct-27597/home/44297450,TMLS,2486986,N,Y,35.9160652,-78.3457532
MLS Listing,,Single Family Residential,2127 Sage Meadows Dr,Winston Salem,NC,27127,260000,3,2.5,Sage Meadows,,,2015,5,,30,Active,,,https://www.redfin.com/NC/Winston-Salem/2127-Sage-Meadows-Dr-27127/home/76492599,Triad MLS,1091921,N,Y,36.0366655,-80.268829
MLS Listing,,Condo/Co-op,609 Hillside Dr S Unit D-16,North Myrtle Beach,SC,29582,294500,2,2.0,WAIPANI,888,,1982,5,332,465,Active,,,https://www.redfin.com/SC/North-Myrtle-Beach/609-N-Hillside-Dr-29582/unit-D16/home/178584522,CCAR,2226459,N,Y,33.8236519,-78.6651784
MLS Listing,,Single Family Residential,332 Tanner Ct,Kernersville,NC,27284,225000,3,3.0,Julian Pond,,,2003,5,,130,Active,,,https://www.redfin.com/NC/Kernersville/332-Tanner-Ct-27284/home/94972481,Triad MLS,1091443,N,Y,36.1400889,-80.0604992
MLS Listing,,Single Family Residential,4652 E Walkerton Rd,Myrtle Beach,SC,29579,352900,3,2.0,Walkers Woods,1645,7840,2006,8,215,90,Active,,,https://www.redfin.com/SC/Myrtle-Beach/4652-E-Walkerton-Rd-29579/home/170800581,CCAR,2226379,N,Y,33.7606003,-78.9297524
MLS Listing,,Single Family Residential,145 Old Rose Path,Garner,NC,27529,549999,5,3.0,Buffaloe Grove,2776,10890,2022,8,198,89,Active,,,https://www.redfin.com/NC/Garner/145-Old-Rose-Path-27529/home/174381880,TMLS,2486689,N,Y,35.6868507,-78.6426885
MLS Listing,,Single Family Residential,4820 Rockport Dr,Durham,NC,27703,385000,4,3.0,Bradbury,2102,5227,2005,8,183,26,Active,,,https://www.redfin.com/NC/Durham/4820-Rockport-Dr-27703/home/43599509,TMLS,2486685,N,Y,35.926347,-78.8300576
MLS Listing,,Single Family Residential,135 Pine Bluff Dr,Mooresville,NC,28117,299000,2,2.0,Holiday Harbor,1095,20473,1985,8,273,,Active,,,https://www.redfin.com/NC/Mooresville/135-Pine-Bluff-Dr-28117/home/44367699,CANOPYMLS,3925621,N,Y,35.5532197,-80.9386798
MLS Listing,,Single Family Residential,673 Willard Dr,Creedmoor,NC,27522,719000,4,3.5,Hawthorne,3083,51400,2013,8,233,49,Active,,,https://www.redfin.com/NC/Creedmoor/673-Willard-Dr-27522/home/50272471,TMLS,2486615,N,Y,36.052326,-78.6216533
MLS Listing,,Single Family Residential,3832 Foliage Dr,Winston Salem,NC,27101,320000,4,2.5,River Chase,,,2013,8,,25,Active,,,https://www.redfin.com/NC/Winston-Salem/3832-Foliage-Dr-27101/home/94854312,Triad MLS,1091544,N,Y,36.1259407,-80.1843462
MLS Listing,,Single Family Residential,2232 Waverly Dell Dr,Winston Salem,NC,27127,249000,3,2.5,Sage Meadows,,,2015,8,,30,Active,,,https://www.redfin.com/NC/Winston-Salem/2232-Waverly-Dell-Dr-SE-27127/home/92326788,Triad MLS,1091442,N,Y,36.0361902,-80.2671306
MLS Listing,,Single Family Residential,776 Millbrook Ct,Concord,NC,28025,499000,5,3.0,Town Creek,2976,25264,1987,9,168,,Active,December-17-2022 01:00 PM,December-17-2022 03:00 PM,https://www.redfin.com/NC/Concord/776-Millbrook-Ct-28025/home/43657182,CANOPYMLS,3924733,N,Y,35.3941829,-80.5560194
MLS Listing,,Single Family Residential,141 Weatherstone Ln,Zebulon,NC,27597,349999,3,2.5,Stoneridge Farm,2277,23086,2021,9,154,43,Active,,,https://www.redfin.com/NC/Zebulon/141-Weatherstone-Ln-27597/home/173305913,TMLS,2486517,N,Y,35.7048951,-78.2894757
MLS Listing,,Single Family Residential,4843 Hawkwood Trl,Winston Salem,NC,27103,325000,3,3.5,Westbrook,,,1963,9,,,Active,,,https://www.redfin.com/NC/Winston-Salem/4843-Hawkwood-Trl-27103/home/94916927,Triad MLS,1091567,N,Y,36.0651377,-80.3485943
MLS Listing,,Single Family Residential,14732 Glenduff Pl,Charlotte,NC,28278,425000,3,2.5,Creekshire Village,1997,14374,2014,9,213,46,Active,,,https://www.redfin.com/NC/Charlotte/14732-Glenduff-Pl-28278/home/52434163,CANOPYMLS,3926901,N,Y,35.0668155,-81.0046532
MLS Listing,,Single Family Residential,431 Glencroft Dr,Wingate,NC,28174,325000,5,3.5,Glencroft,2093,14810,2003,9,155,,Active,,,https://www.redfin.com/NC/Wingate/431-Glencroft-Dr-28174/home/43833932,CANOPYMLS,3926916,N,Y,35.0007968,-80.4279796
MLS Listing,,Townhouse,9113 Falkwood Rd,Raleigh,NC,27617,449000,3,3.5,Lennox at Brier Creek Townhomes,2117,2178,2010,10,212,163,Active,,,https://www.redfin.com/NC/Raleigh/9113-Falkwood-Rd-27617/home/41327026,TMLS,2486398,N,Y,35.8977299,-78.8014726
MLS Listing,,Single Family Residential,4216 Howie Cir,Charlotte,NC,28205,285000,2,1.0,Howie Acres,779,9147,1953,10,366,,Active,,,https://www.redfin.com/NC/Charlotte/4216-Howie-Cir-28205/home/43928647,CANOPYMLS,3927215,N,Y,35.2520935,-80.7833026
MLS Listing,,Townhouse,148 Lincoln Place Cir,Leland,NC,28451,263000,3,2.0,Lincoln Place Townhomes,1386,1220,2020,11,190,158,Active,December-17-2022 01:00 PM,December-17-2022 04:00 PM,https://www.redfin.com/NC/Leland/148-Lincoln-Pl-Cir-28451/home/162926665,NCRMLS,100360177,N,Y,34.2543893,-78.0434899
MLS Listing,,Single Family Residential,119 Celestial Way,Mill Spring,NC,28756,325000,3,2.0,Mill Spring,1440,54450,2002,11,226,,Active,,,https://www.redfin.com/NC/Mill-Spring/119-Celestial-Way-28756/home/102028086,CANOPYMLS,3925662,N,Y,35.4160455,-82.213114
MLS Listing,,Single Family Residential,6 S Penobscot Ct,Simpsonville,SC,29681,370000,4,2.5,Gresham Woods,2000,12632,,11,185,34,Active,December-17-2022 02:00 PM,December-17-2022 04:00 PM,https://www.redfin.com/SC/Simpsonville/6-S-Penobscot-Ct-29681/home/91564528,Greater Greenville MLS,1487621,N,Y,34.7982335,-82.21004
MLS Listing,,Single Family Residential,514 S Elm St,Marshville,NC,28103,379000,3,2.0,Morgan Estates,1755,40423,1930,12,216,,Active,December-17-2022 11:00 AM,December-17-2022 01:00 PM,https://www.redfin.com/NC/Marshville/514-S-Elm-St-28103/home/43775834,CANOPYMLS,3925848,N,Y,34.9805621,-80.3684313
MLS Listing,,Single Family Residential,821 Rivertree Ln,Winston Salem,NC,27103,155000,2,2.0,Burke Creek Condominiums,,,1997,12,,175,Active,,,https://www.redfin.com/NC/Winston-Salem/821-Rivertree-Ln-27103/home/94967357,Triad MLS,1091278,N,Y,36.055636,-80.294465
MLS Listing,,Multi-Family (2-4 Unit),1614 S Anderson Blvd,Topsail Beach,NC,28445,715000,4,2.0,New Topsail Beach,1528,6098,1976,14,468,,Active,,,https://www.redfin.com/NC/Topsail-Beach/1614-S-Anderson-Blvd-28445/home/138008714,NCRMLS,100359315,N,Y,34.353271733,-77.64595969
MLS Listing,,Townhouse,400 Lena Cir,Chapel Hill,NC,27516,474999,3,2.5,Burch Kove,1997,3049,2015,14,238,200,Active,,,https://www.redfin.com/NC/Chapel-Hill/400-Lena-Cir-27516/home/103493178,TMLS,2486019,N,Y,35.9504946,-79.0776793
MLS Listing,,Single Family Residential,8744 Barrister Way,Charlotte,NC,28216,399900,4,2.5,Wedgewood North,2111,16552,1997,15,189,52,Active,December-17-2022 12:30 PM,December-17-2022 02:30 PM,https://www.redfin.com/NC/Charlotte/8744-Barrister-Way-28216/home/43877597,CANOPYMLS,3925722,N,Y,35.3519568,-80.8763692
MLS Listing,,Condo/Co-op,810 Appleby Dr,Simpsonville,SC,29681,310000,4,2.5,The Village at Adams Mill,2000,2613,,15,155,125,Active,,,https://www.redfin.com/SC/Simpsonville/810-Appleby-Dr-29681/home/170117617,Greater Greenville MLS,1487425,N,Y,34.774666,-82.2533717
MLS Listing,,Single Family Residential,221 Quietwood Dr,Winston Salem,NC,27103,155000,2,2.0,Burke Creek Condominiums,,,1997,15,,,Active,,,https://www.redfin.com/NC/Winston-Salem/221-Quietwood-Dr-27103/home/94967365,Triad MLS,1091178,N,Y,36.0552459,-80.293726
