SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,351 Lakewood Dr,Mineral,VA,23117,525000,4,2.5,WINDWOOD COVES,2912,39640,1996,3,180,75,Active,,,https://www.redfin.com/VA/Mineral/351-Lakewood-Dr-23117/home/81828221,BRIGHT MLS,VALA2003068,N,Y,38.0868887,-77.8324622
MLS Listing,,Single Family Residential,103 Halsey Ct,Spotsylvania,VA,22551,390000,3,3.0,SPOTSLEE,1788,15930,2011,8,218,,Pre On-Market,,,https://www.redfin.com/VA/Spotsylvania-Courthouse/103-Halsey-Ct-22551/home/15571567,BRIGHT MLS,VASP2014328,N,Y,38.2007794,-77.5933949
MLS Listing,,Single Family Residential,135 Yorktown Blvd,Locust Grove,VA,22508,315000,3,2.0,LAKE OF THE WOODS,1558,,1989,37,202,154,Active,,,https://www.redfin.com/VA/Locust-Grove/135-Yorktown-Blvd-22508/home/15555291,BRIGHT MLS,VAOR2003772,N,Y,38.3534703,-77.7604067
MLS Listing,,Single Family Residential,11510 Yeats Dr,Catlett,VA,20119,724900,4,3.5,WATERFORD ESTATES,4418,507187,2000,37,164,21,Active,,,https://www.redfin.com/VA/Catlett/11510-Yeats-Dr-20119/home/15523773,BRIGHT MLS,VAFQ2006606,N,Y,38.5578228,-77.6039002
MLS Listing,,Single Family Residential,8901 Old Block House Ln,Spotsylvania,VA,22551,549900,5,3.5,"""LAURELS, THE""",4089,97139,2000,64,134,67,Active,,,https://www.redfin.com/VA/Spotsylvania-Courthouse/8901-Old-Block-House-Ln-22551/home/15583480,BRIGHT MLS,VASP2013226,N,Y,38.2038437,-77.6137172
MLS Listing,,Single Family Residential,142 Windwood Coves Blvd,Mineral,VA,23117,449000,4,3.0,WINDWOOD COVES,1800,40075,1986,67,249,65,Active,,,https://www.redfin.com/VA/Mineral/142-Windwood-Coves-Blvd-23117/home/128272636,BRIGHT MLS,VALA2002796,N,Y,38.0854003,-77.8376885
MLS Listing,,Single Family Residential,8403 Broadmore Ln,Spotsylvania,VA,22553,685000,4,4.5,SAWHILL,3768,27878,1998,79,182,50,Active,December-10-2022 01:00 PM,December-10-2022 03:00 PM,https://www.redfin.com/VA/Spotsylvania-Courthouse/8403-Broadmore-Ln-22553/home/15608697,BRIGHT MLS,VASP2012672,N,Y,38.2865399,-77.6279048
MLS Listing,,Single Family Residential,247 Heather Dr,Stanley,VA,22851,369500,3,2.0,Stanley,1368,271814,2003,1,270,23,Active,,,https://www.redfin.com/VA/Stanley/247-Heather-Dr-22851/home/75066732,MLSRV,893242,N,Y,38.5571378,-78.4747997
MLS Listing,,Vacant Land,0 Galena Rd,Staunton,VA,24401,319950,,,Staunton,,871200,,1,,,Active,,,https://www.redfin.com/VA/STAUNTON/GALENA-RD-24401/home/164704753,MLSRV,889817,N,Y,38.202819,-79.104228
MLS Listing,,Single Family Residential,1707 Orchard Ln,Staunton,VA,24401,230000,3,1.5,Skymont,1416,8712,1962,1,162,,Active,,,https://www.redfin.com/VA/Staunton/1707-Orchard-Ln-24401/home/68357563,GAAR,637155,N,Y,38.1717488,-79.076576
