SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1401 Wewatta St #201,Denver,CO,80202,529000,1,1.0,Union Station,1180,,2002,3,448,692,Active,,,https://www.redfin.com/CO/Denver/1401-Wewatta-St-80202/unit-201/home/34010658,REColorado,4274560,N,Y,39.7511451,-105.00415
MLS Listing,,Single Family Residential,3378 Shoveler Trl,Castle Rock,CO,80104,689000,3,3.0,Crystal Valley Ranch,3242,4138,2017,3,213,79,Active,,,https://www.redfin.com/CO/Castle-Rock/3378-Shoveler-Trl-80104/home/112988808,REColorado,7629225,N,Y,39.3416215,-104.8336739
MLS Listing,,Condo/Co-op,8373 W 90th Pl,Westminster,CO,80021,409000,2,2.0,Pebble Brook North,1100,,1986,4,372,338,Active,,,https://www.redfin.com/CO/Westminster/8373-W-90th-Pl-80021/home/34320022,REColorado,5983683,N,Y,39.8607124,-105.0906625
MLS Listing,,Condo/Co-op,8707 E Florida Ave #707,Denver,CO,80247,325000,2,2.0,River Rock Condos,977,,1997,4,333,270,Active,,,https://www.redfin.com/CO/Denver/8707-E-Florida-Ave-80247/unit-707/home/34677828,REColorado,5611398,N,Y,39.690148,-104.886864
MLS Listing,,Single Family Residential,18231 E Kent Pl,Aurora,CO,80013,580000,5,4.0,Carriage Place,3200,12371,1980,9,181,10,Active,,,https://www.redfin.com/CO/Aurora/18231-E-Kent-Pl-80013/home/34787581,REColorado,7237125,N,Y,39.6482016,-104.7752712
MLS Listing,,Single Family Residential,14166 Glencoe St,Thornton,CO,80602,765000,5,4.0,Lewis Pointe,4274,7324,2017,9,179,,Active,,,https://www.redfin.com/CO/Thornton/14166-Glencoe-St-80602/home/56537621,REColorado,4591595,N,Y,39.9542476,-104.9254478
MLS Listing,,Single Family Residential,6123 S Cherrywood Cir,Centennial,CO,80121,1575000,5,6.0,Southwood Park,4181,18469,1962,9,377,,Active,,,https://www.redfin.com/CO/Centennial/6123-S-Cherrywood-Cir-80121/home/34961845,REColorado,8020712,N,Y,39.6057027,-104.9726097
MLS Listing,,Townhouse,8176 Washington St #115,Thornton,CO,80229,310000,2,2.0,Shiloh,1098,,2018,10,282,275,Active,,,https://www.redfin.com/CO/Thornton/8176-Washington-St-80229/unit-115/home/34946221,REColorado,1678744,N,Y,39.8449304,-104.9758045
MLS Listing,,Single Family Residential,9399 Granzella Rd,Morrison,CO,80465,850000,2,1.0,Morrison,1222,239580,1892,10,696,,Active,,,https://www.redfin.com/CO/Morrison/9399-Granzella-Rd-80465/home/34630044,REColorado,7675873,N,Y,39.547724,-105.2631339
MLS Listing,,Single Family Residential,5288 Sanctuary Ave,Firestone,CO,80504,645000,4,3.0,Barefoot Lakes,3044,6600,2022,11,212,90,Active,,,https://www.redfin.com/CO/Longmont/5288-Sanctuary-Ave-80504/home/175308181,REColorado,5929158,N,Y,40.186221,-104.9552813
